epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2187.81,0.9823,1.43578,0.74693,1.01785,0.73579,0.6583,0.73047,0.43372,0.74719,0.66494,0.73618,0.38265,1.05008,1.6427,0.78999,1.07741,0.00053225,0.00053225,0.00053225
31,2258.13,0.98637,1.43866,0.73368,1.02285,0.71694,0.69274,0.71426,0.41018,0.72019,0.65535,0.6983,0.35873,1.04316,1.61879,0.84273,1.05817,0.0005075,0.0005075,0.0005075
32,2334.43,0.97122,1.41562,0.71986,1.01648,0.7751,0.65563,0.7285,0.43238,0.76772,0.64853,0.71786,0.38078,1.02689,1.60106,0.7991,1.06238,0.00048275,0.00048275,0.00048275
33,2399.8,0.95659,1.40386,0.70863,1.01223,0.77521,0.64802,0.72119,0.41644,0.75718,0.63649,0.7011,0.35699,1.02795,1.62005,0.84631,1.07027,0.000458,0.000458,0.000458
34,2468.24,0.95181,1.41553,0.68327,1.01227,0.72359,0.67859,0.72169,0.43816,0.73052,0.67907,0.72207,0.38188,1.01804,1.62087,0.76303,1.06813,0.00043325,0.00043325,0.00043325
35,2538.91,0.94189,1.38621,0.69861,1.00619,0.7849,0.65362,0.73136,0.42983,0.7886,0.65529,0.72706,0.37681,1.02053,1.60672,0.75896,1.0542,0.0004085,0.0004085,0.0004085
36,2609.93,0.92962,1.35978,0.66671,1.00122,0.77924,0.68256,0.7444,0.44953,0.76009,0.66816,0.72178,0.38446,0.98848,1.60306,0.76088,1.04892,0.00038375,0.00038375,0.00038375
37,2680.47,0.94509,1.40991,0.68099,1.00305,0.73615,0.64604,0.68613,0.42155,0.7429,0.64753,0.68986,0.3681,1.01936,1.61127,0.83307,1.05938,0.000359,0.000359,0.000359
38,2757.01,0.9278,1.37774,0.65762,0.99838,0.80457,0.62877,0.7113,0.43144,0.80891,0.62613,0.7012,0.38204,0.99736,1.58982,0.76711,1.04855,0.00033425,0.00033425,0.00033425
39,2824.93,0.91881,1.33518,0.65775,1.00398,0.78772,0.6842,0.74295,0.44835,0.76917,0.66945,0.70485,0.38542,1.00157,1.62881,0.74966,1.05368,0.0003095,0.0003095,0.0003095
40,2902.44,0.90921,1.33658,0.6361,0.99187,0.81111,0.6486,0.74052,0.44924,0.79807,0.65532,0.73869,0.39193,1.00842,1.59494,0.73859,1.05139,0.00028475,0.00028475,0.00028475
41,3007.89,0.87987,1.31676,0.59548,1.00149,0.7933,0.6921,0.72659,0.44445,0.79561,0.69079,0.72264,0.37793,0.99494,1.60507,0.74571,1.06046,0.00026,0.00026,0.00026
42,3084.08,0.87341,1.31498,0.57949,1.0049,0.83406,0.64861,0.74917,0.45276,0.82772,0.64495,0.73332,0.39219,1.00235,1.6028,0.74181,1.04946,0.00023525,0.00023525,0.00023525
43,3161.87,0.86475,1.31994,0.57023,0.9992,0.80135,0.67961,0.73703,0.44943,0.78216,0.66215,0.71204,0.39049,0.99651,1.60949,0.72237,1.05023,0.0002105,0.0002105,0.0002105
44,3238.87,0.84835,1.26436,0.56874,0.98368,0.79888,0.67623,0.7559,0.45056,0.78058,0.66148,0.73784,0.38598,1.00343,1.61085,0.72434,1.05336,0.00018575,0.00018575,0.00018575
45,3308.61,0.84374,1.27907,0.543,0.98342,0.79967,0.69227,0.75367,0.46055,0.79618,0.68112,0.73452,0.39811,1.0019,1.59006,0.71855,1.05043,0.000161,0.000161,0.000161
46,3381.11,0.8353,1.25317,0.54771,0.97462,0.81486,0.67198,0.77172,0.46422,0.80106,0.66158,0.74632,0.40486,0.9885,1.58553,0.69376,1.04639,0.00013625,0.00013625,0.00013625
47,3456.84,0.82625,1.22568,0.5281,0.97689,0.82497,0.67586,0.76127,0.45892,0.80845,0.66054,0.73701,0.39552,0.98995,1.5949,0.71945,1.05261,0.0001115,0.0001115,0.0001115
48,3526.91,0.8193,1.24139,0.51869,0.96891,0.77671,0.69548,0.75172,0.45314,0.74613,0.66928,0.70818,0.39225,0.97529,1.58658,0.72746,1.04423,8.675e-05,8.675e-05,8.675e-05
49,3599.45,0.80171,1.209,0.50994,0.96383,0.7592,0.69815,0.75083,0.45651,0.73528,0.67738,0.71601,0.39486,0.97529,1.60416,0.72093,1.04252,6.2e-05,6.2e-05,6.2e-05
50,3677.19,0.80052,1.20153,0.49542,0.95433,0.83103,0.67313,0.75766,0.45734,0.8087,0.65563,0.72376,0.38935,0.98214,1.61125,0.71554,1.04296,3.725e-05,3.725e-05,3.725e-05
