epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6548,1.36584,1.76463,1.20492,0.30462,0.14457,0.13981,0.08409,2.11284,17.8018,2.45714,0.000550425,0.000550425,0.000550425
2,161.589,1.46188,1.31034,1.28399,0.0025,0.05877,0.00141,0.00052,nan,nan,nan,0.00109945,0.00109945,0.00109945
3,236.487,1.51185,1.40591,1.3119,0.63818,0.15455,0.06168,0.03711,nan,nan,nan,0.00164182,0.00164182,0.00164182
4,310.991,1.49964,1.26997,1.29619,0.47288,0.34945,0.348,0.18837,1.60412,2.10132,1.52698,0.00163699,0.00163699,0.00163699
5,385.528,1.40215,1.17938,1.25063,0.60217,0.48926,0.52895,0.2893,1.35762,2.72696,1.31808,0.00162699,0.00162699,0.00162699
6,460.03,1.39035,1.11792,1.23997,0.76015,0.4644,0.51243,0.29056,nan,nan,nan,0.00161699,0.00161699,0.00161699
7,534.264,1.34449,1.0611,1.235,0.5529,0.45813,0.36547,0.19414,1.28394,1.67251,1.24502,0.00160699,0.00160699,0.00160699
8,608.617,1.37087,1.0803,1.23961,0.56763,0.43256,0.47874,0.26336,nan,nan,nan,0.00159699,0.00159699,0.00159699
9,682.797,1.33817,1.04865,1.20703,0.65257,0.45581,0.51297,0.28133,1.3594,1.26578,1.31362,0.00158698,0.00158698,0.00158698
10,757.2,1.33393,1.04296,1.22512,0.6178,0.55237,0.59319,0.31759,1.34935,1.16881,1.2836,0.00157698,0.00157698,0.00157698
11,831.659,1.31676,0.99238,1.18768,0.68931,0.51194,0.55712,0.32067,1.19539,1.00759,1.20599,0.00156698,0.00156698,0.00156698
12,905.882,1.32819,1.00988,1.21699,0.60051,0.52114,0.55885,0.31786,1.24367,1.04705,1.21093,0.00155698,0.00155698,0.00155698
13,980.171,1.3089,0.96575,1.18382,0.72843,0.52836,0.57054,0.32261,1.27485,0.94223,1.23196,0.00154698,0.00154698,0.00154698
14,1054.57,1.24497,0.92273,1.17729,0.79626,0.4791,0.55777,0.32791,1.19698,0.9326,1.1956,0.00153697,0.00153697,0.00153697
15,1128.95,1.24902,0.95953,1.16348,0.72036,0.55703,0.61249,0.3294,1.27351,1.22398,1.22552,0.00152697,0.00152697,0.00152697
16,1203.37,1.19717,0.84814,1.13915,0.76227,0.53799,0.62094,0.36913,1.16213,1.0258,1.16493,0.00151697,0.00151697,0.00151697
17,1277.77,1.22252,0.87421,1.1464,0.77547,0.58122,0.64007,0.37791,1.18861,0.89208,1.19483,0.00150697,0.00150697,0.00150697
18,1352.17,1.22132,0.88406,1.15766,0.81542,0.52961,0.61201,0.35132,1.17745,0.91466,1.17459,0.00149697,0.00149697,0.00149697
19,1426.46,1.23917,0.90386,1.15397,0.75749,0.54141,0.60972,0.34936,1.1618,0.8548,1.17573,0.00148696,0.00148696,0.00148696
20,1500.67,1.20845,0.85636,1.13057,0.84001,0.5733,0.66529,0.38123,1.17013,0.82973,1.16832,0.00147696,0.00147696,0.00147696
21,1575.17,1.19633,0.80943,1.12927,0.83685,0.56234,0.6653,0.38491,1.14448,0.79746,1.17083,0.00146696,0.00146696,0.00146696
