epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.066,1.32138,2.31444,1.65168,1.16431,0.6115,0.3917,0.40641,0.2286,0.53667,0.39925,0.3767,0.18919,1.37339,2.85543,2.37471,1.33095,0.000553033,0.000553033,0.000553033
2,221.041,1.53232,2.75869,1.57992,1.32384,0.50685,0.01064,0.00134,0.00082,0.50641,0.00993,0.00097,0.00046,nan,nan,nan,nan,0.00110205,0.00110205,0.00110205
3,325.737,1.55212,2.64149,1.60285,1.33363,0.75534,0.2737,0.32694,0.1903,0.74429,0.27186,0.31955,0.17529,1.56788,2.84578,2.82125,1.48858,0.00164439,0.00164439,0.00164439
4,430.058,1.50172,2.52631,1.43049,1.30712,0.64288,0.39837,0.42097,0.23886,0.61546,0.38188,0.40701,0.209,1.40542,2.60475,1.4797,1.33016,0.00163699,0.00163699,0.00163699
5,534.549,1.50992,2.4446,1.34549,1.30056,0.65716,0.41389,0.45343,0.26812,0.65245,0.40751,0.44661,0.22989,1.35346,2.3375,1.28343,1.28334,0.00162699,0.00162699,0.00162699
6,639.146,1.38439,2.20744,1.23108,1.22284,0.74651,0.45315,0.52637,0.30364,0.5464,0.51931,0.52346,0.26844,1.31356,2.14224,1.24587,1.25101,0.00161699,0.00161699,0.00161699
7,743.5,1.37523,2.25726,1.19274,1.23692,0.64315,0.48979,0.55113,0.32441,0.59759,0.51207,0.54833,0.2912,1.19715,2.17377,1.12481,1.20138,0.00160699,0.00160699,0.00160699
8,847.964,1.3166,2.22019,1.13661,1.19712,0.66835,0.54884,0.55804,0.32008,0.64109,0.52662,0.53107,0.27564,1.26973,2.17191,0.99716,1.20841,0.00159699,0.00159699,0.00159699
9,952.195,1.31789,2.06573,1.11994,1.17613,0.60372,0.54224,0.54119,0.31751,0.62303,0.52428,0.52748,0.28129,1.27395,2.11859,1.33642,1.21819,0.00158698,0.00158698,0.00158698
10,1056.41,1.29716,2.06891,1.08248,1.18705,0.70273,0.54602,0.5797,0.33847,0.69906,0.54177,0.57649,0.30492,1.2436,2.07795,1.06031,1.19907,0.00157698,0.00157698,0.00157698
11,1160.87,1.25875,2.00459,1.02456,1.15654,0.66854,0.54957,0.57858,0.3517,0.66564,0.54219,0.56838,0.3116,1.1612,1.96552,1.00948,1.15918,0.00156698,0.00156698,0.00156698
12,1265.33,1.24226,1.94729,0.97354,1.15783,0.79475,0.51623,0.57463,0.34854,0.78603,0.51245,0.56233,0.30668,1.2063,1.99841,0.95447,1.17396,0.00155698,0.00155698,0.00155698
13,1369.46,1.26017,2.04159,0.9955,1.17188,0.77686,0.50053,0.57785,0.34461,0.75401,0.50191,0.57089,0.30507,1.16891,2.06646,1.08631,1.15414,0.00154698,0.00154698,0.00154698
14,1473.65,1.22316,1.91237,0.97831,1.15829,0.76941,0.49685,0.55319,0.32959,0.77675,0.4926,0.54629,0.29443,nan,nan,nan,nan,0.00153697,0.00153697,0.00153697
15,1577.84,1.24388,1.98267,1.00434,1.16385,0.64935,0.50391,0.52241,0.32923,0.69646,0.48693,0.52978,0.28347,1.19498,4.61652,0.9522,1.19025,0.00152697,0.00152697,0.00152697
16,1682.11,1.23319,1.96677,1.00801,1.15242,0.7139,0.48302,0.48285,0.27817,0.71211,0.47896,0.47795,0.24012,1.14272,1.94633,1.30952,1.16128,0.00151697,0.00151697,0.00151697
17,1786.3,1.20854,1.92994,0.95326,1.13724,0.78194,0.57101,0.61597,0.36956,0.76337,0.55849,0.59986,0.31922,1.19457,1.94886,0.87183,1.16672,0.00150697,0.00150697,0.00150697
18,1890.84,1.21153,1.91477,0.9338,1.14416,0.85415,0.55837,0.62843,0.37079,0.85092,0.55821,0.62607,0.32142,1.14437,1.87972,0.84747,1.13946,0.00149697,0.00149697,0.00149697
19,1995.23,1.20787,1.88802,0.93781,1.13971,0.77177,0.59117,0.64226,0.37641,0.76986,0.58644,0.63347,0.35295,1.14334,1.84441,0.93944,1.14183,0.00148696,0.00148696,0.00148696
20,2099.67,1.18426,1.86888,0.89801,1.12203,0.87172,0.54885,0.62393,0.37952,0.85211,0.53845,0.61035,0.33003,1.1336,1.88006,0.88458,1.13885,0.00147696,0.00147696,0.00147696
21,2203.77,1.18643,1.86155,0.92192,1.12746,0.7489,0.57604,0.63255,0.37109,0.73044,0.56493,0.6195,0.32598,1.11961,1.83238,1.0631,1.1309,0.00146696,0.00146696,0.00146696
22,2308.16,1.14621,1.75811,0.85761,1.1105,0.74995,0.57485,0.62209,0.38914,0.74757,0.57202,0.61756,0.34173,1.08638,1.83659,0.88121,1.11368,0.00145696,0.00145696,0.00145696
23,2412.24,1.19151,1.912,0.89933,1.12392,0.82531,0.60345,0.65662,0.39571,0.82266,0.59848,0.65052,0.36243,1.10347,1.8716,0.82038,1.10939,0.00144696,0.00144696,0.00144696
24,2516.63,1.12685,1.7669,0.8424,1.09415,0.82238,0.60521,0.67201,0.40897,0.81796,0.5973,0.6623,0.36178,1.09982,1.8403,0.79019,1.10957,0.00143695,0.00143695,0.00143695
25,2621.14,1.15922,1.77154,0.8655,1.11168,0.81055,0.60477,0.66415,0.39844,0.75311,0.60929,0.65257,0.34586,1.11426,1.88503,0.80239,1.11263,0.00142695,0.00142695,0.00142695
26,2725.27,1.13834,1.73777,0.84185,1.10657,0.73295,0.60204,0.63786,0.39197,0.74231,0.60534,0.64582,0.35449,1.10528,1.78587,0.75865,1.11702,0.00141695,0.00141695,0.00141695
27,2829.36,1.1398,1.75152,0.82366,1.11431,0.82143,0.6003,0.66246,0.39813,0.81726,0.59753,0.65751,0.35576,1.11131,1.82563,0.77397,1.11527,0.00140695,0.00140695,0.00140695
28,2933.57,1.14034,1.78276,0.81873,1.0982,0.87394,0.58824,0.6691,0.4106,0.86919,0.58343,0.66233,0.35507,1.1086,1.8459,0.75612,1.11874,0.00139695,0.00139695,0.00139695
29,3037.76,1.12859,1.75363,0.81204,1.09769,0.88621,0.59385,0.6876,0.41481,0.8829,0.58895,0.67889,0.36521,1.07522,1.79615,0.80379,1.09873,0.00138694,0.00138694,0.00138694
30,3142.18,1.13226,1.74867,0.80741,1.10178,0.80971,0.61479,0.65441,0.3985,0.80485,0.60982,0.64172,0.34864,1.11595,1.83364,0.76324,1.11476,0.00137694,0.00137694,0.00137694
31,3246.21,1.13874,1.75022,0.78261,1.1065,0.84305,0.57529,0.6518,0.39805,0.83867,0.57085,0.64943,0.355,1.05392,1.82605,0.75551,1.0943,0.00136694,0.00136694,0.00136694
32,3350.4,1.14667,1.75854,0.81267,1.09543,0.8265,0.6328,0.67733,0.40396,0.824,0.62952,0.67255,0.36333,1.08628,1.76544,0.7846,1.1162,0.00135694,0.00135694,0.00135694
33,3454.7,1.12297,1.75287,0.81164,1.0889,0.81492,0.59517,0.66322,0.40593,0.82244,0.59706,0.6564,0.35346,1.07022,1.77101,0.75715,1.1012,0.00134694,0.00134694,0.00134694
34,3558.88,1.10566,1.69573,0.79446,1.09433,0.7742,0.65713,0.6879,0.41721,0.75854,0.64223,0.67374,0.37008,1.0815,1.70683,0.77643,1.09757,0.00133693,0.00133693,0.00133693
35,3663.43,1.07933,1.68508,0.75918,1.06193,0.79344,0.64366,0.68769,0.40962,0.77893,0.63353,0.6797,0.36642,1.06929,1.7463,0.75198,1.0951,0.00132693,0.00132693,0.00132693
36,3767.47,1.08589,1.70114,0.75773,1.07573,0.80028,0.64905,0.69242,0.42298,0.79585,0.6448,0.68783,0.37065,1.03537,1.73919,0.68634,1.09184,0.00131693,0.00131693,0.00131693
37,3871.83,1.07187,1.63899,0.72848,1.07549,0.81047,0.65079,0.68602,0.42962,0.81383,0.65126,0.67908,0.37466,1.06513,1.75664,0.69783,1.09357,0.00130693,0.00130693,0.00130693
38,3976.35,1.07989,1.66312,0.74764,1.06917,0.81825,0.63577,0.68044,0.416,0.81176,0.63225,0.67139,0.36517,1.06834,1.72849,0.71475,1.0893,0.00129693,0.00129693,0.00129693
39,4080.54,1.08896,1.65592,0.72974,1.08326,0.77116,0.6196,0.68223,0.4195,0.77044,0.6027,0.66756,0.35718,1.04469,1.72776,0.76981,1.08242,0.00128692,0.00128692,0.00128692
40,4184.74,1.08997,1.68293,0.74033,1.06875,0.80958,0.62566,0.67516,0.41254,0.80648,0.62069,0.6603,0.34894,1.12309,1.7959,0.73588,1.13446,0.00127692,0.00127692,0.00127692
41,4288.78,1.10641,1.68798,0.74604,1.06975,0.83533,0.60333,0.67139,0.41774,0.84101,0.6024,0.66517,0.36951,1.08533,1.76954,0.74566,1.09796,0.00126692,0.00126692,0.00126692
42,4393.14,1.08216,1.64457,0.76179,1.06128,0.83636,0.6207,0.67381,0.42654,0.84278,0.62259,0.67792,0.37205,1.028,1.71668,0.71419,1.07297,0.00125692,0.00125692,0.00125692
43,4497.48,1.07743,1.62429,0.73673,1.0708,0.80103,0.64947,0.70167,0.43665,0.7964,0.64522,0.69372,0.37692,1.04741,1.76404,0.70106,1.08182,0.00124692,0.00124692,0.00124692
44,4602.06,1.07978,1.67243,0.76296,1.06024,0.90188,0.58029,0.68187,0.41746,0.91026,0.58311,0.67833,0.37008,1.07935,1.77848,0.75958,1.09927,0.00123691,0.00123691,0.00123691
45,4706.33,1.09825,1.67864,0.72163,1.07702,0.76415,0.66442,0.70028,0.43519,0.7587,0.65591,0.69291,0.37603,1.06128,1.79465,0.68277,1.09399,0.00122691,0.00122691,0.00122691
46,4810.67,1.0695,1.65591,0.71089,1.0672,0.86459,0.60776,0.69294,0.44136,0.86074,0.60339,0.68054,0.38084,1.02582,1.76574,0.69857,1.07288,0.00121691,0.00121691,0.00121691
47,4915.01,1.04529,1.59221,0.6821,1.06598,0.8441,0.63157,0.70079,0.42729,0.83847,0.62589,0.68831,0.37298,1.03436,1.71527,0.70223,1.076,0.00120691,0.00120691,0.00120691
48,5019.2,1.05185,1.61808,0.70133,1.06807,0.78573,0.64602,0.68011,0.42085,0.78254,0.64145,0.67352,0.3693,1.01281,1.66813,0.71113,1.06973,0.00119691,0.00119691,0.00119691
49,5123.63,1.04905,1.61233,0.68439,1.06707,0.82863,0.60578,0.67474,0.41904,0.82678,0.58831,0.66883,0.36927,1.0355,1.70952,0.68694,1.07623,0.0011869,0.0011869,0.0011869
50,5227.97,1.04559,1.61666,0.70484,1.05087,0.85605,0.60814,0.69945,0.43578,0.84855,0.59919,0.68679,0.37791,1.05996,1.67713,0.70625,1.09186,0.0011769,0.0011769,0.0011769
51,5332.14,1.07196,1.63027,0.71514,1.06267,0.83387,0.62143,0.70266,0.43758,0.82846,0.61659,0.69859,0.38511,1.04753,1.69358,0.67246,1.08104,0.0011669,0.0011669,0.0011669
52,5436.76,1.0188,1.5287,0.6628,1.04588,0.88107,0.60683,0.69926,0.43582,0.88881,0.60706,0.70037,0.3805,1.04197,1.6945,0.67793,1.07337,0.0011569,0.0011569,0.0011569
53,5540.94,1.02805,1.54973,0.64989,1.05945,0.83948,0.65654,0.71888,0.43115,0.82502,0.65236,0.70005,0.37124,1.05546,1.70885,0.65288,1.09107,0.0011469,0.0011469,0.0011469
54,5645.28,1.03209,1.6272,0.65314,1.04657,0.86501,0.6188,0.7019,0.43568,0.85851,0.61313,0.69281,0.37725,1.02772,1.69566,0.68825,1.07486,0.00113689,0.00113689,0.00113689
55,5749.3,1.0187,1.57355,0.65587,1.04333,0.79471,0.63393,0.69411,0.4414,0.77764,0.6207,0.67883,0.37447,1.03551,1.72402,0.67023,1.0709,0.00112689,0.00112689,0.00112689
56,5853.63,1.03001,1.56545,0.66213,1.05016,0.78062,0.66494,0.69632,0.43823,0.77559,0.64066,0.68116,0.37449,1.01272,1.69882,0.65905,1.07305,0.00111689,0.00111689,0.00111689
57,5958.04,1.04563,1.59182,0.66345,1.05248,0.83977,0.62682,0.70848,0.43961,0.8455,0.62871,0.70645,0.39206,1.02056,1.70313,0.63497,1.06561,0.00110689,0.00110689,0.00110689
58,6062.47,1.05155,1.6046,0.65393,1.05736,0.82518,0.62595,0.68516,0.429,0.80948,0.61469,0.66729,0.37981,1.02405,1.68723,0.67377,1.07647,0.00109689,0.00109689,0.00109689
59,6166.68,1.02456,1.55939,0.63916,1.04466,0.8648,0.59843,0.68632,0.41743,0.85853,0.59276,0.67287,0.36415,1.03161,1.68766,0.67784,1.07597,0.00108688,0.00108688,0.00108688
60,6270.99,1.03403,1.57275,0.65255,1.05481,0.81644,0.61668,0.69361,0.43737,0.82675,0.61573,0.69368,0.38461,0.99887,1.68666,0.67025,1.06284,0.00107688,0.00107688,0.00107688
61,6375.17,1.01172,1.52628,0.63823,1.03426,0.82985,0.62996,0.69654,0.43258,0.83446,0.62966,0.69394,0.38489,1.0077,1.70235,0.67152,1.0559,0.00106688,0.00106688,0.00106688
62,6479.41,1.01688,1.60945,0.65606,1.04228,0.76816,0.64432,0.66441,0.41056,0.78492,0.61981,0.65229,0.35932,0.99961,1.70482,0.68634,1.06035,0.00105688,0.00105688,0.00105688
63,6583.68,0.98911,1.50601,0.62289,1.0367,0.85433,0.58575,0.66851,0.42184,0.79886,0.60345,0.66109,0.36931,1.00283,1.6731,0.65225,1.06621,0.00104688,0.00104688,0.00104688
64,6688.05,1.00012,1.51117,0.6033,1.0191,0.78596,0.61734,0.69498,0.43259,0.86173,0.58029,0.69409,0.37557,1.02473,1.69082,0.66119,1.07879,0.00103687,0.00103687,0.00103687
65,6792.49,1.0006,1.50513,0.61246,1.02906,0.80247,0.62446,0.70224,0.43768,0.79669,0.61879,0.69564,0.39219,0.9939,1.77619,0.66139,1.06046,0.00102687,0.00102687,0.00102687
66,6896.73,1.00845,1.50012,0.62923,1.02977,0.83901,0.64574,0.71318,0.44659,0.82294,0.64291,0.70986,0.38738,1.00972,1.67226,0.62357,1.06613,0.00101687,0.00101687,0.00101687
67,7001.27,0.98326,1.46898,0.60803,1.02394,0.83699,0.64968,0.72554,0.43723,0.79797,0.64197,0.70882,0.37956,1.02062,1.71872,0.68342,1.0742,0.00100687,0.00100687,0.00100687
68,7105.53,0.99122,1.54416,0.61652,1.02245,0.83602,0.61798,0.69604,0.44156,0.8617,0.61196,0.69032,0.38814,1.00415,1.67311,0.62071,1.06237,0.000996866,0.000996866,0.000996866
69,7209.9,1.00964,1.56595,0.64059,1.03292,0.8753,0.61904,0.70393,0.43966,0.86698,0.61337,0.702,0.38112,1.01622,1.67765,0.65724,1.06901,0.000986864,0.000986864,0.000986864
70,7314.28,0.98951,1.53219,0.60966,1.01698,0.79623,0.61102,0.70209,0.43658,0.7927,0.60748,0.68313,0.38074,1.02784,1.70709,0.6425,1.07839,0.000976862,0.000976862,0.000976862
71,7418.61,0.9879,1.48459,0.61646,1.03046,0.74822,0.64811,0.70284,0.43835,0.72934,0.62746,0.6865,0.38455,1.03533,1.71435,0.68345,1.07762,0.00096686,0.00096686,0.00096686
72,7522.83,0.99188,1.45723,0.59288,1.02639,0.81944,0.63889,0.71442,0.44192,0.8061,0.6292,0.6996,0.37977,1.02663,1.69171,0.62267,1.07577,0.000956858,0.000956858,0.000956858
73,7627.12,1.00201,1.53426,0.61305,1.02954,0.83309,0.62746,0.729,0.44571,0.82984,0.62462,0.7209,0.38525,1.00278,1.67849,0.60914,1.05749,0.000946856,0.000946856,0.000946856
74,7731.37,0.9705,1.46475,0.58862,1.0296,0.85869,0.66087,0.74241,0.45395,0.84837,0.65118,0.72281,0.38679,1.01844,1.72521,0.62269,1.06009,0.000936854,0.000936854,0.000936854
75,7836.03,0.98134,1.44243,0.58644,1.01883,0.8751,0.5999,0.71663,0.4408,0.87241,0.60037,0.70403,0.3755,1.02623,1.73867,0.6659,1.07628,0.000926852,0.000926852,0.000926852
76,7940.4,0.95988,1.41882,0.58668,1.00938,0.8045,0.65591,0.70651,0.4404,0.78982,0.64692,0.69197,0.37509,0.99725,1.68973,0.61908,1.06129,0.00091685,0.00091685,0.00091685
77,8044.8,0.9917,1.49479,0.5784,1.01899,0.86898,0.62958,0.71119,0.44502,0.87175,0.6255,0.70577,0.3815,1.01712,1.70241,0.60721,1.06864,0.000906848,0.000906848,0.000906848
78,8149.09,0.96239,1.41461,0.55824,1.00803,0.76116,0.66738,0.70909,0.44377,0.91025,0.58666,0.69722,0.38303,1.01542,1.6859,0.61753,1.06602,0.000896846,0.000896846,0.000896846
79,8253.37,0.96717,1.45567,0.58383,1.02103,0.81009,0.66268,0.71992,0.45823,0.79601,0.65157,0.70107,0.39466,1.00103,1.70401,0.61253,1.06084,0.000886844,0.000886844,0.000886844
80,8357.99,0.97518,1.45098,0.58001,1.02318,0.77172,0.64788,0.70427,0.44726,0.76736,0.64292,0.70329,0.39304,0.9986,1.66842,0.66351,1.05777,0.000876842,0.000876842,0.000876842
81,8462.37,0.94458,1.43401,0.56898,1.00687,0.81152,0.6448,0.72329,0.46003,0.79081,0.6311,0.70387,0.39677,0.98724,1.68744,0.60587,1.05573,0.00086684,0.00086684,0.00086684
82,8566.97,0.96072,1.4394,0.57741,1.01244,0.90851,0.62529,0.7324,0.46822,0.90336,0.61974,0.72946,0.40421,1.01419,1.6931,0.6295,1.06898,0.000856838,0.000856838,0.000856838
83,8671.67,0.95341,1.44113,0.57786,1.0092,0.89372,0.62968,0.71118,0.44623,0.86132,0.60888,0.6807,0.37998,0.99235,1.68707,0.59509,1.05862,0.000846836,0.000846836,0.000846836
84,8776.12,0.94423,1.38874,0.56623,1.02075,0.86185,0.62921,0.70065,0.4424,0.86345,0.62684,0.69792,0.3817,0.99787,1.69743,0.61107,1.0544,0.000836834,0.000836834,0.000836834
85,8880.56,0.95457,1.4312,0.55937,1.00068,0.81504,0.65308,0.71491,0.44743,0.80121,0.64268,0.70455,0.38645,1.01704,1.72414,0.58309,1.06477,0.000826832,0.000826832,0.000826832
86,8985.02,0.97304,1.4818,0.57942,1.01504,0.78408,0.64764,0.70805,0.44895,0.77837,0.64268,0.70022,0.38638,0.9997,1.70821,0.60406,1.0544,0.00081683,0.00081683,0.00081683
87,9089.56,0.91725,1.38797,0.54396,0.98766,0.82956,0.66536,0.72617,0.45851,0.82235,0.65969,0.71707,0.39583,0.99784,1.69417,0.59886,1.06223,0.000806828,0.000806828,0.000806828
88,9193.95,0.95805,1.41049,0.5713,1.01216,0.84574,0.67647,0.73964,0.46375,0.84918,0.67623,0.72999,0.4031,0.98532,1.70248,0.60025,1.05706,0.000796826,0.000796826,0.000796826
89,9298.35,0.94973,1.44028,0.56693,1.01556,0.82677,0.6422,0.71936,0.44497,0.82292,0.63023,0.704,0.38479,1.02783,1.79084,0.5953,1.07521,0.000786824,0.000786824,0.000786824
90,9402.78,0.92581,1.39123,0.54558,1.00327,0.8479,0.63015,0.704,0.44308,0.84328,0.62589,0.69918,0.38224,0.9896,1.71484,0.61499,1.05421,0.000776822,0.000776822,0.000776822
91,9507.13,0.9163,1.33927,0.53693,0.99637,0.78838,0.6474,0.71745,0.44316,0.79058,0.64716,0.71174,0.38929,1.01443,1.71085,0.59085,1.07087,0.00076682,0.00076682,0.00076682
92,9611.7,0.93721,1.36516,0.54004,0.99708,0.8109,0.64977,0.70105,0.43461,0.8359,0.63101,0.69348,0.37365,0.99619,1.71605,0.61963,1.06484,0.000756818,0.000756818,0.000756818
93,9716.07,0.9335,1.37391,0.54372,1.01124,0.89201,0.64085,0.72933,0.44786,0.88411,0.63375,0.70877,0.37756,0.99773,1.66304,0.58323,1.06516,0.000746816,0.000746816,0.000746816
94,9820.51,0.92569,1.3706,0.54409,0.99071,0.85044,0.65248,0.75256,0.46837,0.85621,0.64841,0.74443,0.41028,0.98782,1.68399,0.59296,1.05345,0.000736814,0.000736814,0.000736814
