epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3864.79,1.22978,1.86191,1.78411,1.08255,5e-05,0.06548,3e-05,1e-05,2e-05,0.02381,1e-05,0,4.01674,97.6174,3916.56,8.25701,0.000544553,0.000544553,0.000544553
2,7678.89,1.36895,2.09837,1.39469,1.20501,0.00582,0.1044,0.00044,0.00027,0.00581,0.08654,0.00038,0.00023,3.03464,1262.43,896991,23.5912,0.00107844,0.00107844,0.00107844
3,11491.1,1.41869,2.03606,1.33737,1.2256,0,0,0,0,0,0,0,0,3.78411,8.78058,793467,7.51116,0.00159031,0.00159031,0.00159031
4,15280.8,1.4162,2.05506,1.36958,1.22588,0.22848,0.27069,0.13852,0.06364,0.24479,0.26297,0.13929,0.04904,1.75632,3.4077,6.71412,1.65355,0.00156798,0.00156798,0.00156798
5,19072,1.36838,1.92919,1.2441,1.18677,0.17382,0.27763,0.11568,0.06769,0.17406,0.27846,0.11505,0.05321,1.73416,15.5951,32.2457,2.14152,0.00153497,0.00153497,0.00153497
6,22795.1,1.31345,1.91975,1.15651,1.18436,0.8644,0.37072,0.47077,0.26544,0.86107,0.36752,0.44795,0.23893,1.35009,2.24309,1.50729,1.27456,0.00150197,0.00150197,0.00150197
7,26569.6,1.28387,1.79033,1.06973,1.15588,0.47147,0.51007,0.47383,0.26395,0.78084,0.37103,0.46195,0.24365,1.35122,2.82722,1.89411,1.2599,0.00146896,0.00146896,0.00146896
8,30340.4,1.26306,1.80829,1.04638,1.15866,0.77207,0.58611,0.66385,0.3742,0.77271,0.58697,0.6719,0.32816,1.23795,1.9284,1.08858,1.18883,0.00143595,0.00143595,0.00143595
9,34108.5,1.25078,1.74358,1.00738,1.14384,0.7208,0.59534,0.63244,0.35263,0.71175,0.58832,0.62456,0.32523,1.29297,1.86975,1.22263,1.20179,0.00140295,0.00140295,0.00140295
