epoch,train_loss,train_iou,val_loss,val_iou
1,1.2375879049301148,0.3612418312168262,1.2512404521306355,0.3954387610880739
2,1.0465003100308505,0.47444431361098327,1.0712583859761555,0.48598812226863597
3,0.8637285460125316,0.4936086380371928,0.898123025894165,0.490111509958903
4,0.7506509705023332,0.4946507779630054,0.798800547917684,0.494288698832194
5,0.6905086571520025,0.49561570481952144,0.7290258606274923,0.49554810523986814
6,0.6567825003103777,0.4948509460632854,0.6734032909075419,0.49689202308654784
7,0.6326522523706609,0.4951320258053866,0.6448880354563395,0.4969271183013916
8,0.6136383923617277,0.49574442627083026,0.6131839871406555,0.4969268004099528
9,0.6001014991240068,0.49616271564438347,0.6058642745018006,0.49692659378051757
10,0.5900408972393383,0.4960921661530779,0.5947036306063335,0.49692306518554685
11,0.5809457583860917,0.4960643273313145,0.5817797978719076,0.49692726135253906
12,0.5761784748597578,0.4949616648934104,0.5725675582885742,0.4969275951385498
13,0.566134384545413,0.49624205084969003,0.5669278621673584,0.4969274202982585
14,0.5577013156630776,0.49788561548895915,0.5581848462422688,0.5036431477760193
15,0.5522705641659823,0.5200268090645985,0.5510803858439127,0.5052771285762446
16,0.5436275135387074,0.529568573925845,0.547029980023702,0.5119751250458678
17,0.5347196329723705,0.5460420859669082,0.5463635802268982,0.511768587264713
18,0.5302273056723855,0.5427521588131041,0.5454543511072795,0.5086517531170213
19,0.5281951487064361,0.5405065661780603,0.5404826601346334,0.51007536729766
20,0.5191268574107777,0.5513520151447937,0.5387036879857381,0.511640711269051
