epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5709,1.2995,1.63799,1.16763,0.70295,0.24242,0.15157,0.09642,1.35431,3.94363,1.32611,0.000550425,0.000550425,0.000550425
2,130.769,1.35567,1.18174,1.21866,0.55295,0.4503,0.42936,0.23465,1.3681,2.35729,1.39815,0.00109514,0.00109514,0.00109514
3,193.043,1.42497,1.19986,1.26379,0.57992,0.4268,0.42397,0.21109,1.47068,2.53183,1.41758,0.00162886,0.00162886,0.00162886
4,254.776,1.39555,1.14642,1.23773,0.33489,0.19585,0.16883,0.09921,1.71878,2.81352,1.49872,0.00161749,0.00161749,0.00161749
5,316.632,1.32396,1.05915,1.2062,0.5069,0.5112,0.4986,0.27602,1.28502,1.5953,1.259,0.00160099,0.00160099,0.00160099
6,378.724,1.34308,1.03284,1.20577,0.55881,0.37455,0.36229,0.20143,1.49125,1.36128,1.37786,0.00158448,0.00158448,0.00158448
7,440.482,1.29378,0.97761,1.20316,0.75377,0.40674,0.49007,0.28679,1.24336,1.07606,1.21619,0.00156798,0.00156798,0.00156798
8,502.489,1.29474,0.96456,1.19425,0.75152,0.5234,0.60983,0.33361,1.23212,0.98798,1.22398,0.00155148,0.00155148,0.00155148
9,564.547,1.29749,0.95985,1.17112,0.6852,0.56783,0.62835,0.36238,1.17834,0.92196,1.17081,0.00153497,0.00153497,0.00153497
10,626.595,1.25296,0.93483,1.17543,0.55498,0.56646,0.55803,0.32041,1.20873,0.99641,1.20122,0.00151847,0.00151847,0.00151847
11,688.303,1.25659,0.89652,1.15465,0.80642,0.54568,0.61896,0.35627,1.19358,0.82762,1.18649,0.00150197,0.00150197,0.00150197
12,750.182,1.28441,0.94099,1.1843,0.74811,0.54747,0.63363,0.35921,1.20157,1.04281,1.17907,0.00148546,0.00148546,0.00148546
13,812.005,1.24527,0.86994,1.14695,0.72266,0.57936,0.64992,0.36461,1.23939,0.84797,1.2033,0.00146896,0.00146896,0.00146896
14,874.1,1.19382,0.83739,1.15057,0.72869,0.58422,0.64984,0.36736,1.18747,0.82391,1.1796,0.00145246,0.00145246,0.00145246
15,936.16,1.21243,0.83453,1.14198,0.7363,0.52043,0.61515,0.33859,1.28276,0.97463,1.22372,0.00143595,0.00143595,0.00143595
16,998.047,1.16402,0.78743,1.11787,0.87643,0.61517,0.73112,0.42162,1.15595,0.74275,1.13969,0.00141945,0.00141945,0.00141945
