epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2973,1.52866,6.63584,1.28341,0,0,0,0,nan,nan,nan,0.000545182,0.000545182,0.000545182
2,137.824,1.6564,4.87583,1.33278,0.00015,0.00922,7e-05,2e-05,nan,nan,nan,0.00108995,0.00108995,0.00108995
3,203.563,1.66398,4.59487,1.34501,0.1835,0.12529,0.08854,0.04828,2.32798,10.3014,2.11019,0.00162372,0.00162372,0.00162372
4,269.779,1.65687,4.49672,1.35407,0.21664,0.31508,0.13119,0.05496,1.62899,23.2297,1.69598,0.00161749,0.00161749,0.00161749
5,335.678,1.58711,4.25543,1.3092,0.75445,0.36917,0.53369,0.30001,1.27962,7.93395,1.26957,0.00160099,0.00160099,0.00160099
6,401.803,1.51841,3.91146,1.2652,0.7916,0.43981,0.51391,0.29713,1.2386,6.56184,1.21791,0.00158448,0.00158448,0.00158448
7,467.383,1.49677,3.73805,1.26053,0.6452,0.4827,0.51809,0.29424,1.27459,5.53353,1.23446,0.00156798,0.00156798,0.00156798
8,532.794,1.45107,3.7012,1.2309,0.76643,0.55223,0.60107,0.35185,1.17487,2.89783,1.16582,0.00155148,0.00155148,0.00155148
9,598.69,1.4707,3.55344,1.23567,0.82112,0.55617,0.62203,0.36421,1.18063,2.76416,1.17456,0.00153497,0.00153497,0.00153497
10,664.394,1.45525,3.47975,1.23478,0.75002,0.44488,0.51427,0.31079,1.20802,2.63982,1.16969,0.00151847,0.00151847,0.00151847
11,729.735,1.43046,3.47992,1.21836,0.78463,0.53373,0.60018,0.35294,1.13308,2.85592,1.13045,0.00150197,0.00150197,0.00150197
12,795.226,1.42901,3.41271,1.19725,0.86527,0.56728,0.63255,0.38663,1.12166,2.87218,1.11877,0.00148546,0.00148546,0.00148546
13,861.101,1.4505,3.41892,1.2079,0.73,0.55902,0.61546,0.34889,1.20761,3.373,1.16393,0.00146896,0.00146896,0.00146896
14,926.375,1.37872,3.23879,1.1894,0.80759,0.53917,0.63829,0.37189,1.12735,2.71422,1.12895,0.00145246,0.00145246,0.00145246
15,991.681,1.39561,3.25111,1.19672,0.80815,0.56818,0.62886,0.37348,1.10643,2.23013,1.12223,0.00143595,0.00143595,0.00143595
16,1057,1.36525,3.15143,1.18208,0.76474,0.60745,0.65602,0.38195,1.1258,2.55461,1.11742,0.00141945,0.00141945,0.00141945
17,1122.36,1.40363,3.19957,1.18721,0.85289,0.59843,0.67679,0.40261,1.06081,2.18484,1.09541,0.00140295,0.00140295,0.00140295
18,1188.22,1.35019,3.0219,1.17077,0.72504,0.56257,0.61019,0.35464,1.1169,2.55676,1.12656,0.00138644,0.00138644,0.00138644
19,1253.56,1.36164,3.02203,1.19401,0.90654,0.57981,0.66725,0.39102,1.12577,2.20651,1.11501,0.00136994,0.00136994,0.00136994
20,1319.06,1.3272,2.93969,1.15853,0.80641,0.58336,0.63853,0.39381,1.09087,2.45779,1.11065,0.00135344,0.00135344,0.00135344
21,1384.27,1.28624,2.79362,1.14469,0.86933,0.55145,0.65637,0.38696,1.14523,2.27658,1.12339,0.00133693,0.00133693,0.00133693
22,1449.7,1.32269,2.88945,1.16525,0.75534,0.6207,0.66507,0.39751,1.07589,2.32077,1.10432,0.00132043,0.00132043,0.00132043
23,1515.07,1.30942,2.87872,1.16025,0.8107,0.55911,0.64183,0.39382,1.10486,2.39016,1.10494,0.00130393,0.00130393,0.00130393
24,1580.5,1.31797,2.88787,1.16605,0.79888,0.62259,0.67815,0.40558,1.08451,2.88594,1.08994,0.00128742,0.00128742,0.00128742
25,1646.19,1.31738,2.90764,1.15892,0.86934,0.59765,0.69688,0.41232,1.04684,2.05547,1.08639,0.00127092,0.00127092,0.00127092
26,1711.99,1.29359,2.74346,1.1511,0.83743,0.62069,0.69775,0.40943,1.05621,2.08218,1.09691,0.00125442,0.00125442,0.00125442
27,1777.32,1.28833,2.71663,1.1489,0.74168,0.56753,0.63412,0.38888,1.03762,2.02334,1.06752,0.00123791,0.00123791,0.00123791
28,1842.59,1.24811,2.66011,1.13462,0.79507,0.58881,0.64996,0.38655,1.0554,1.98783,1.08456,0.00122141,0.00122141,0.00122141
29,1907.96,1.30367,2.69676,1.14111,0.74752,0.62962,0.68133,0.39917,1.11269,2.18947,1.10111,0.00120491,0.00120491,0.00120491
30,1973.38,1.28907,2.75134,1.149,0.86842,0.59257,0.6865,0.43159,1.02876,1.95274,1.0736,0.0011884,0.0011884,0.0011884
31,2039.22,1.2867,2.65346,1.13946,0.73274,0.6207,0.6541,0.40119,1.03709,2.54429,1.07267,0.0011719,0.0011719,0.0011719
32,2104.79,1.25895,2.572,1.12393,0.83841,0.60761,0.69062,0.42706,1.02582,2.07875,1.07415,0.0011554,0.0011554,0.0011554
33,2170.3,1.2818,2.65599,1.14613,0.79969,0.61078,0.69007,0.4264,1.02174,1.92696,1.06949,0.00113889,0.00113889,0.00113889
34,2235.66,1.22181,2.50773,1.12107,0.90934,0.59715,0.69576,0.41908,1.04829,1.9349,1.06497,0.00112239,0.00112239,0.00112239
35,2300.98,1.24739,2.54078,1.12791,0.88084,0.60965,0.70137,0.43089,1.03156,1.88796,1.06895,0.00110589,0.00110589,0.00110589
36,2366.73,1.29005,2.64549,1.14788,0.89037,0.62188,0.70609,0.43235,1.0252,1.96576,1.06638,0.00108938,0.00108938,0.00108938
37,2432.42,1.22679,2.48227,1.12622,0.82156,0.65047,0.73624,0.44082,1.02826,1.90686,1.06053,0.00107288,0.00107288,0.00107288
38,2498.22,1.22866,2.45874,1.11319,0.86775,0.62519,0.71768,0.44142,1.00755,2.00893,1.07193,0.00105638,0.00105638,0.00105638
39,2563.49,1.23898,2.53903,1.12924,0.86205,0.62926,0.72063,0.44984,1.00357,1.91918,1.06003,0.00103987,0.00103987,0.00103987
40,2629.44,1.2473,2.45317,1.10951,0.83872,0.65037,0.73068,0.43485,1.02235,1.90745,1.06744,0.00102337,0.00102337,0.00102337
41,2694.68,1.19995,2.40973,1.11963,0.8143,0.66064,0.71691,0.43703,1.02575,1.84371,1.05998,0.00100687,0.00100687,0.00100687
42,2760.27,1.23199,2.44094,1.11539,0.83698,0.65756,0.72523,0.4518,1.00866,1.94394,1.05555,0.000990365,0.000990365,0.000990365
43,2825.98,1.1902,2.33003,1.0986,0.77978,0.65709,0.7116,0.44548,1.00627,1.82405,1.05806,0.000973861,0.000973861,0.000973861
44,2891.49,1.18207,2.32782,1.0971,0.80382,0.67639,0.73493,0.44826,1.01525,1.82349,1.06275,0.000957358,0.000957358,0.000957358
45,2956.88,1.20113,2.33292,1.09987,0.79849,0.65761,0.72732,0.44453,1.0037,2.02941,1.05397,0.000940855,0.000940855,0.000940855
46,3022.21,1.18106,2.37311,1.10926,0.81758,0.62708,0.69192,0.41749,1.02395,2.05578,1.06569,0.000924352,0.000924352,0.000924352
47,3087.63,1.19195,2.35937,1.0982,0.7861,0.66395,0.73494,0.44802,1.0164,1.78844,1.06107,0.000907848,0.000907848,0.000907848
48,3153.12,1.20823,2.40388,1.11723,0.78892,0.65009,0.70089,0.43833,1.0009,1.93295,1.05922,0.000891345,0.000891345,0.000891345
49,3218.54,1.16495,2.23404,1.10037,0.849,0.66583,0.7371,0.44816,0.99714,1.79041,1.0566,0.000874842,0.000874842,0.000874842
50,3283.99,1.19893,2.32945,1.0985,0.87304,0.62094,0.72089,0.44634,0.98782,1.87887,1.04601,0.000858338,0.000858338,0.000858338
51,3349.44,1.19617,2.34363,1.09527,0.7943,0.69372,0.74892,0.44668,0.99724,1.76316,1.06028,0.000841835,0.000841835,0.000841835
52,3415.05,1.17963,2.26133,1.0863,0.88706,0.66906,0.74314,0.46285,0.99918,1.68819,1.05186,0.000825332,0.000825332,0.000825332
53,3481.05,1.22212,2.38284,1.10714,0.7964,0.64055,0.71223,0.44152,0.99793,1.81902,1.05578,0.000808828,0.000808828,0.000808828
54,3546.64,1.15379,2.23187,1.08348,0.88408,0.64088,0.73873,0.45984,0.98482,1.81632,1.04482,0.000792325,0.000792325,0.000792325
55,3612.11,1.17684,2.26017,1.09416,0.85799,0.63181,0.72497,0.44715,1.00273,1.80524,1.05756,0.000775822,0.000775822,0.000775822
56,3677.6,1.17624,2.29392,1.10566,0.79965,0.67562,0.72698,0.44944,0.98706,1.81376,1.04805,0.000759318,0.000759318,0.000759318
57,3743.15,1.17079,2.2174,1.08307,0.82248,0.61898,0.70665,0.44137,0.98324,1.74894,1.05029,0.000742815,0.000742815,0.000742815
58,3808.66,1.16684,2.24936,1.07631,0.84201,0.68285,0.73333,0.44652,0.99223,1.7866,1.05677,0.000726312,0.000726312,0.000726312
59,3874.26,1.16813,2.1803,1.08056,0.82108,0.67513,0.71698,0.45207,1.00093,1.74585,1.04127,0.000709809,0.000709809,0.000709809
60,3940.08,1.16316,2.20915,1.08144,0.8618,0.67007,0.7453,0.45761,0.97602,1.73501,1.03896,0.000693305,0.000693305,0.000693305
61,4005.58,1.12393,2.09574,1.0782,0.89367,0.63351,0.75141,0.45993,0.97261,1.72085,1.03806,0.000676802,0.000676802,0.000676802
62,4071.13,1.15552,2.13475,1.08283,0.87548,0.64409,0.7442,0.45671,0.98699,1.68674,1.04567,0.000660299,0.000660299,0.000660299
63,4136.53,1.13479,2.07169,1.06496,0.85638,0.66685,0.77167,0.46862,0.99261,1.68477,1.04591,0.000643795,0.000643795,0.000643795
64,4202.44,1.13655,2.10179,1.06601,0.85062,0.6708,0.77677,0.46742,0.97057,1.74564,1.04429,0.000627292,0.000627292,0.000627292
