epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.046,1.32138,2.31444,1.65168,1.16431,0.6115,0.3917,0.40641,0.2286,0.53667,0.39925,0.3767,0.18919,1.37339,2.85543,2.37471,1.33095,0.000553033,0.000553033,0.000553033
2,221.159,1.47348,2.52401,1.47335,1.27947,0.1706,0.05093,0.02258,0.01154,0.1706,0.05093,0.02226,0.0094,nan,nan,nan,nan,0.00109772,0.00109772,0.00109772
3,325.177,1.54808,2.73015,1.56164,1.33502,0.54583,0.15489,0.15185,0.09036,0.54453,0.15418,0.14871,0.08042,nan,nan,nan,nan,0.00163141,0.00163141,0.00163141
4,429.056,1.50158,2.86133,1.45059,1.30965,0.12235,0.25319,0.08576,0.05494,0.12147,0.24752,0.08418,0.04645,1.35255,68.4,11.3883,1.49733,0.00161749,0.00161749,0.00161749
5,532.786,1.49624,2.46817,1.43152,1.28464,0.61712,0.48758,0.4936,0.28105,0.70715,0.4287,0.46708,0.2408,nan,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,636.776,1.36456,2.24531,1.21052,1.21766,0.63513,0.49898,0.51209,0.2864,0.66524,0.51566,0.53302,0.27271,1.31087,2.15379,1.36033,1.25327,0.00158448,0.00158448,0.00158448
7,740.965,1.3702,2.23742,1.21729,1.231,0.58025,0.48408,0.50052,0.29819,0.57955,0.48266,0.49417,0.26299,1.22705,2.19182,1.6334,1.21439,0.00156798,0.00156798,0.00156798
8,844.567,1.32082,2.13473,1.13453,1.19452,0.71256,0.52852,0.57356,0.33612,0.72009,0.5297,0.57305,0.29929,1.24339,2.08411,0.96999,1.1976,0.00155148,0.00155148,0.00155148
9,948.427,1.31497,2.07833,1.10557,1.17647,0.72919,0.42263,0.48843,0.30205,0.72535,0.41985,0.47919,0.27577,1.23803,2.13116,1.1671,1.1984,0.00153497,0.00153497,0.00153497
10,1052.15,1.29904,2.07941,1.07691,1.18509,0.6784,0.55382,0.55119,0.32452,0.67297,0.54413,0.53415,0.28948,nan,nan,nan,nan,0.00151847,0.00151847,0.00151847
11,1156.11,1.28355,2.02198,1.04839,1.16993,0.73174,0.56658,0.62851,0.37448,0.73952,0.56563,0.62694,0.3345,1.17548,1.94682,0.93694,1.16317,0.00150197,0.00150197,0.00150197
12,1259.93,1.25267,1.95449,0.98711,1.16136,0.8112,0.5647,0.61144,0.36454,0.82951,0.55924,0.60862,0.32389,1.23055,1.98742,0.89967,1.18556,0.00148546,0.00148546,0.00148546
13,1363.45,1.25237,2.01889,1.00328,1.17281,0.77121,0.57569,0.61324,0.3687,0.76331,0.56718,0.60339,0.32445,1.17865,1.96368,0.8954,1.1654,0.00146896,0.00146896,0.00146896
14,1467.18,1.21887,1.91303,0.94847,1.16074,0.81562,0.53065,0.59565,0.35583,0.81092,0.5294,0.58776,0.31871,1.21562,1.9662,0.94135,1.17845,0.00145246,0.00145246,0.00145246
15,1570.96,1.23668,1.97329,0.98636,1.15559,0.77861,0.56138,0.59255,0.361,0.76689,0.56327,0.58959,0.31812,1.13978,1.91208,0.85837,1.15807,0.00143595,0.00143595,0.00143595
16,1674.75,1.22048,1.94058,0.95119,1.1467,0.88742,0.54114,0.64666,0.38707,0.88031,0.53572,0.63847,0.3438,1.12301,1.8183,0.84451,1.14208,0.00141945,0.00141945,0.00141945
17,1778.75,1.19915,1.91255,0.92107,1.1321,0.7561,0.58789,0.63994,0.38374,0.79275,0.56553,0.62753,0.33143,1.13398,1.89667,0.83253,1.14013,0.00140295,0.00140295,0.00140295
18,1882.3,1.19087,1.88973,0.90913,1.13575,0.86994,0.56113,0.6266,0.37498,0.83986,0.55428,0.61402,0.32969,1.1694,1.8665,0.86456,1.16106,0.00138644,0.00138644,0.00138644
19,1985.98,1.19744,1.871,0.90112,1.13692,0.83418,0.57447,0.64019,0.37132,0.82753,0.57506,0.63404,0.34087,1.15414,1.8526,0.86536,1.1465,0.00136994,0.00136994,0.00136994
20,2089.68,1.18911,1.86564,0.87919,1.12579,0.76543,0.60072,0.63947,0.39125,0.78093,0.59527,0.634,0.34223,1.13071,1.9141,0.81842,1.12784,0.00135344,0.00135344,0.00135344
21,2193.58,1.16975,1.85171,0.88888,1.11813,0.67158,0.54981,0.59337,0.36214,0.6963,0.55713,0.60596,0.31339,1.13273,1.91214,0.97247,1.12928,0.00133693,0.00133693,0.00133693
22,2297.35,1.1465,1.73993,0.84729,1.10699,0.75647,0.51805,0.55216,0.35788,0.73369,0.50694,0.5392,0.31421,nan,nan,nan,nan,0.00132043,0.00132043,0.00132043
23,2401.15,1.17938,1.90222,0.90309,1.11985,0.80567,0.58879,0.6372,0.38495,0.82273,0.5947,0.64154,0.33929,1.10802,1.80612,0.77977,1.13005,0.00130393,0.00130393,0.00130393
24,2504.81,1.12122,1.77344,0.83161,1.0896,0.73897,0.59848,0.62771,0.39225,0.74224,0.58855,0.62276,0.3372,1.08995,1.8169,0.84744,1.10884,0.00128742,0.00128742,0.00128742
25,2608.59,1.15995,1.7505,0.83729,1.11118,0.84387,0.59162,0.65634,0.4006,0.82865,0.58335,0.64523,0.35535,1.12898,1.84712,0.7995,1.12756,0.00127092,0.00127092,0.00127092
26,2712.71,1.12217,1.73542,0.84849,1.10725,0.85073,0.57059,0.65686,0.4003,0.8459,0.5651,0.65143,0.35429,1.09534,1.75704,0.77939,1.11233,0.00125442,0.00125442,0.00125442
27,2816.88,1.12534,1.72225,0.81917,1.10504,0.87965,0.60525,0.66642,0.39939,0.86795,0.59707,0.65624,0.36444,1.08333,1.77022,0.76572,1.10948,0.00123791,0.00123791,0.00123791
28,2920.98,1.11798,1.74877,0.81551,1.08684,0.82245,0.61108,0.67278,0.4025,0.83457,0.6058,0.66914,0.36054,1.10423,1.80742,0.7833,1.10679,0.00122141,0.00122141,0.00122141
29,3025.28,1.11872,1.73619,0.80106,1.09126,0.8318,0.62096,0.67086,0.41396,0.84103,0.62394,0.67247,0.36446,1.05685,1.75757,0.72633,1.09562,0.00120491,0.00120491,0.00120491
30,3129.17,1.13442,1.74016,0.78684,1.10157,0.87342,0.59186,0.66886,0.40448,0.8793,0.58245,0.65284,0.3521,1.12209,1.87126,0.75932,1.11508,0.0011884,0.0011884,0.0011884
31,3232.79,1.11976,1.71156,0.77272,1.09581,0.81843,0.61331,0.6726,0.4209,0.81471,0.60977,0.67511,0.36711,1.06411,1.72986,0.73933,1.09286,0.0011719,0.0011719,0.0011719
32,3336.81,1.11937,1.73862,0.79544,1.08569,0.84798,0.61362,0.67699,0.42079,0.84532,0.61078,0.67295,0.37158,1.07438,1.74844,0.79295,1.10088,0.0011554,0.0011554,0.0011554
33,3440.74,1.10744,1.72781,0.78882,1.07972,0.80037,0.62283,0.66804,0.41739,0.79394,0.61786,0.66883,0.37223,1.05923,1.74538,0.70531,1.09076,0.00113889,0.00113889,0.00113889
34,3544.29,1.08348,1.65934,0.76113,1.07672,0.85536,0.57462,0.67015,0.41247,0.84915,0.56824,0.65733,0.36185,1.06733,1.77678,0.7831,1.08886,0.00112239,0.00112239,0.00112239
35,3647.99,1.06205,1.62997,0.73705,1.0545,0.8193,0.63086,0.68733,0.42212,0.81423,0.62613,0.68198,0.36453,1.0622,1.77259,0.70313,1.09417,0.00110589,0.00110589,0.00110589
36,3751.68,1.06925,1.6514,0.74024,1.06353,0.90656,0.63162,0.69443,0.42893,0.9026,0.62814,0.68633,0.37809,1.04457,1.74222,0.69851,1.10115,0.00108938,0.00108938,0.00108938
37,3855.66,1.04191,1.59674,0.71312,1.06101,0.87793,0.6419,0.70909,0.43833,0.87306,0.63765,0.70392,0.38152,1.07485,1.7322,0.66578,1.08981,0.00107288,0.00107288,0.00107288
38,3959.64,1.05516,1.63967,0.72141,1.05628,0.76962,0.61502,0.67031,0.41229,0.80642,0.5871,0.66389,0.35171,1.05161,1.73233,0.74242,1.07832,0.00105638,0.00105638,0.00105638
39,4063.68,1.07231,1.62082,0.70987,1.07442,0.83314,0.61243,0.67953,0.42147,0.8187,0.60345,0.66138,0.36861,1.06353,1.76559,0.72132,1.08993,0.00103987,0.00103987,0.00103987
40,4167.77,1.0593,1.66987,0.71063,1.05556,0.87659,0.58914,0.67328,0.4159,0.87088,0.58406,0.66325,0.35877,1.10031,1.78256,0.70295,1.10874,0.00102337,0.00102337,0.00102337
41,4271.64,1.07454,1.67122,0.72561,1.05276,0.84505,0.6103,0.68957,0.43291,0.83059,0.60132,0.67335,0.37671,1.08091,1.7856,0.70121,1.09468,0.00100687,0.00100687,0.00100687
42,4375.37,1.07442,1.62074,0.72725,1.05478,0.8994,0.61809,0.70337,0.43089,0.90858,0.62211,0.70204,0.38449,1.03651,1.70603,0.68074,1.07109,0.000990365,0.000990365,0.000990365
43,4479.2,1.04966,1.58448,0.6973,1.05622,0.88626,0.61242,0.69157,0.4328,0.88091,0.60745,0.68067,0.37647,1.03274,1.72759,0.69969,1.07313,0.000973861,0.000973861,0.000973861
44,4583.15,1.0513,1.63764,0.74559,1.04806,0.80527,0.62017,0.6821,0.41722,0.80061,0.61402,0.67476,0.37538,1.08054,1.71664,0.70721,1.08887,0.000957358,0.000957358,0.000957358
45,4687.19,1.07416,1.63184,0.69498,1.06302,0.84108,0.64574,0.70017,0.43521,0.83652,0.6422,0.69377,0.38586,1.07066,1.75229,0.67694,1.0844,0.000940855,0.000940855,0.000940855
46,4791.31,1.05304,1.63047,0.67875,1.0552,0.87074,0.65094,0.70201,0.43203,0.85773,0.64196,0.69254,0.38404,1.03286,1.73681,0.69305,1.07192,0.000924352,0.000924352,0.000924352
47,4895.36,1.02568,1.5584,0.67448,1.05134,0.87219,0.59393,0.68471,0.43121,0.86193,0.5926,0.67961,0.36874,1.03323,1.73108,0.7065,1.06768,0.000907848,0.000907848,0.000907848
48,4999.55,1.03751,1.59487,0.68031,1.05783,0.80399,0.64538,0.68105,0.42156,0.79762,0.63611,0.66903,0.36032,1.01391,1.70506,0.70958,1.06403,0.000891345,0.000891345,0.000891345
49,5103.7,1.02284,1.57938,0.66542,1.04973,0.8836,0.64015,0.70042,0.43718,0.88202,0.63874,0.69734,0.38805,1.0358,1.67858,0.66888,1.07187,0.000874842,0.000874842,0.000874842
50,5207.99,1.02267,1.58735,0.69226,1.03975,0.91777,0.6129,0.70993,0.44199,0.91546,0.61077,0.70449,0.38253,1.02961,1.69267,0.67139,1.06932,0.000858338,0.000858338,0.000858338
