epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0274,1.54545,6.5761,1.27902,0,0,0,0,nan,nan,nan,0.000545182,0.000545182,0.000545182
2,136.696,1.71905,4.96144,1.35445,0,0,0,0,nan,nan,nan,0.00108995,0.00108995,0.00108995
3,202.5,1.73038,5.05304,1.39192,0.21872,0.08249,0.06411,0.03603,1.79831,nan,2.08994,0.00162372,0.00162372,0.00162372
4,268.099,1.76273,5.1453,1.39535,0.00029,0.00071,0.00015,7e-05,2.81048,1927.33,343.876,0.00161749,0.00161749,0.00161749
5,333.526,1.70551,4.78217,1.35052,0.87667,0.26099,0.31711,0.18618,1.55437,4.74563,1.38195,0.00160099,0.00160099,0.00160099
6,399.218,1.70577,4.55135,1.34558,0.74051,0.41885,0.48362,0.26185,1.40454,8.69884,1.34631,0.00158448,0.00158448,0.00158448
7,464.906,1.62665,4.2636,1.3235,0.68701,0.47643,0.51331,0.28764,1.27223,4.63911,1.22961,0.00156798,0.00156798,0.00156798
8,530.748,1.58037,4.1015,1.29816,0.67212,0.50371,0.52944,0.30848,1.26586,4.12261,1.21957,0.00155148,0.00155148,0.00155148
9,596.511,1.54288,3.99464,1.26567,0.7654,0.47064,0.57482,0.32801,1.22439,5.66403,1.19942,0.00153497,0.00153497,0.00153497
10,662.21,1.53018,3.94171,1.25531,0.69671,0.53515,0.57817,0.34429,1.18403,3.68238,1.16883,0.00151847,0.00151847,0.00151847
11,728.03,1.52135,3.78371,1.24072,0.79523,0.4682,0.55081,0.32697,1.23982,3.64256,1.18852,0.00150197,0.00150197,0.00150197
12,793.485,1.46999,3.71802,1.23738,0.71334,0.51467,0.58641,0.35164,1.16367,3.66189,1.15229,0.00148546,0.00148546,0.00148546
13,859.311,1.48828,3.66146,1.23775,0.68486,0.51864,0.58999,0.34906,1.13272,4.5176,1.14418,0.00146896,0.00146896,0.00146896
14,924.71,1.47216,3.60671,1.22972,0.75276,0.55075,0.60255,0.35746,1.09085,3.69559,1.12199,0.00145246,0.00145246,0.00145246
15,990.49,1.49793,3.57938,1.23611,0.72922,0.54925,0.59797,0.35298,1.16703,3.133,1.14827,0.00143595,0.00143595,0.00143595
16,1055.8,1.44143,3.46912,1.20524,0.75005,0.52239,0.59921,0.35316,1.19922,3.37473,1.16181,0.00141945,0.00141945,0.00141945
17,1121.23,1.43177,3.36132,1.19855,0.70372,0.56327,0.6024,0.35702,1.12508,2.71843,1.12618,0.00140295,0.00140295,0.00140295
18,1186.61,1.44002,3.44458,1.20842,0.73699,0.55005,0.63372,0.36284,1.16213,3.07532,1.13933,0.00138644,0.00138644,0.00138644
19,1252.37,1.43129,3.36593,1.19898,0.84038,0.55617,0.63195,0.38352,1.09856,2.72092,1.10339,0.00136994,0.00136994,0.00136994
20,1318.24,1.43542,3.26728,1.19377,0.71909,0.537,0.60863,0.36878,1.0831,2.99255,1.10588,0.00135344,0.00135344,0.00135344
21,1383.73,1.43591,3.28591,1.19454,0.85939,0.51775,0.62768,0.36396,1.09943,2.57282,1.1065,0.00133693,0.00133693,0.00133693
22,1449.06,1.35701,3.14761,1.18645,0.76036,0.5302,0.62999,0.38391,1.10311,3.48168,1.1117,0.00132043,0.00132043,0.00132043
23,1514.76,1.40066,3.28207,1.19792,0.81838,0.58784,0.64511,0.38415,1.09174,2.31077,1.09755,0.00130393,0.00130393,0.00130393
24,1580.35,1.36286,3.07126,1.18319,0.77577,0.58241,0.64007,0.38047,1.0963,2.49772,1.1074,0.00128742,0.00128742,0.00128742
25,1645.74,1.38794,3.14914,1.1797,0.78276,0.56844,0.63144,0.37012,1.10048,2.4046,1.10286,0.00127092,0.00127092,0.00127092
26,1711.05,1.3696,3.03978,1.17033,0.81556,0.57502,0.64119,0.38781,1.04815,2.35246,1.08685,0.00125442,0.00125442,0.00125442
27,1776.68,1.32961,2.93903,1.16237,0.73927,0.53725,0.58847,0.35486,1.08904,2.81039,1.10437,0.00123791,0.00123791,0.00123791
28,1842.01,1.32044,2.9417,1.15983,0.78024,0.61419,0.66984,0.39903,1.08655,2.38685,1.10847,0.00122141,0.00122141,0.00122141
29,1907.77,1.35956,2.96191,1.16738,0.85527,0.5988,0.6808,0.40201,1.05905,2.21714,1.08777,0.00120491,0.00120491,0.00120491
30,1973.26,1.34126,2.94088,1.17678,0.83356,0.59424,0.67637,0.4081,1.06026,2.58509,1.09835,0.0011884,0.0011884,0.0011884
31,2039.16,1.38186,2.99885,1.16064,0.8985,0.60292,0.67604,0.40659,1.05588,2.22964,1.08826,0.0011719,0.0011719,0.0011719
32,2104.53,1.31902,2.80643,1.1514,0.81631,0.61616,0.67809,0.4072,1.09141,2.45228,1.09968,0.0011554,0.0011554,0.0011554
33,2169.9,1.33943,2.84828,1.15476,0.91857,0.60982,0.70272,0.42143,1.08528,2.11886,1.08808,0.00113889,0.00113889,0.00113889
34,2235.61,1.32762,2.8509,1.15362,0.7489,0.59595,0.66381,0.40741,1.03994,2.32612,1.07925,0.00112239,0.00112239,0.00112239
35,2301.01,1.32967,2.81478,1.14325,0.85561,0.5713,0.6549,0.40356,1.07068,2.51492,1.09304,0.00110589,0.00110589,0.00110589
36,2366.3,1.34234,2.90852,1.16025,0.86738,0.5887,0.69938,0.41247,1.05411,2.27743,1.09487,0.00108938,0.00108938,0.00108938
37,2431.42,1.32061,2.81995,1.14164,0.85817,0.62389,0.71156,0.42295,1.06861,2.27862,1.08482,0.00107288,0.00107288,0.00107288
38,2497.09,1.31104,2.76238,1.13747,0.83966,0.60547,0.68393,0.41553,1.07234,2.10671,1.09831,0.00105638,0.00105638,0.00105638
39,2562.26,1.31925,2.78029,1.15651,0.79154,0.60602,0.67454,0.40111,1.11958,2.17928,1.10734,0.00103987,0.00103987,0.00103987
40,2627.56,1.32165,2.8606,1.15219,0.82617,0.61172,0.68885,0.42032,1.03603,2.30455,1.07161,0.00102337,0.00102337,0.00102337
41,2692.8,1.274,2.69171,1.12945,0.82853,0.591,0.68812,0.41711,1.04801,2.04195,1.07185,0.00100687,0.00100687,0.00100687
42,2758.48,1.32229,2.75161,1.15279,0.82199,0.64409,0.72211,0.43164,1.04442,2.19286,1.07865,0.000990365,0.000990365,0.000990365
43,2823.65,1.26254,2.68514,1.12367,0.86557,0.62583,0.71439,0.44271,1.00625,1.95919,1.05702,0.000973861,0.000973861,0.000973861
44,2888.71,1.2602,2.54585,1.10545,0.82194,0.6207,0.69478,0.42434,1.0243,2.05996,1.06369,0.000957358,0.000957358,0.000957358
45,2953.41,1.25901,2.57668,1.1291,0.84004,0.60463,0.69481,0.43476,1.02745,1.98839,1.06742,0.000940855,0.000940855,0.000940855
46,3018.16,1.3052,2.62577,1.13191,0.86223,0.6308,0.72058,0.43695,1.00122,2.06503,1.05389,0.000924352,0.000924352,0.000924352
47,3082.94,1.25114,2.53984,1.11956,0.81182,0.62826,0.70982,0.43043,1.0248,2.04883,1.06627,0.000907848,0.000907848,0.000907848
48,3147.7,1.28855,2.60726,1.12891,0.83344,0.65218,0.70654,0.44007,1.0002,1.90837,1.05611,0.000891345,0.000891345,0.000891345
49,3212.44,1.25854,2.5447,1.10976,0.84618,0.62998,0.69434,0.43111,1.00706,1.89189,1.05628,0.000874842,0.000874842,0.000874842
50,3277.21,1.27293,2.57803,1.11768,0.83938,0.62471,0.70156,0.43177,1.00789,1.88136,1.05178,0.000858338,0.000858338,0.000858338
51,3341.95,1.26145,2.5522,1.1162,0.83169,0.65473,0.71785,0.42557,1.0079,1.99797,1.06645,0.000841835,0.000841835,0.000841835
52,3406.66,1.23652,2.50992,1.11574,0.85196,0.63629,0.72265,0.43439,1.01308,1.97921,1.05773,0.000825332,0.000825332,0.000825332
53,3471.48,1.29352,2.61097,1.12466,0.84437,0.66158,0.72704,0.44237,1.02519,1.93125,1.05755,0.000808828,0.000808828,0.000808828
54,3536.69,1.23574,2.46615,1.11747,0.87588,0.6313,0.71969,0.44133,1.00173,1.91023,1.05027,0.000792325,0.000792325,0.000792325
55,3601.43,1.25478,2.52496,1.11699,0.79974,0.63239,0.71047,0.43286,0.99791,1.89562,1.05194,0.000775822,0.000775822,0.000775822
56,3666.06,1.22467,2.48137,1.10042,0.8666,0.63677,0.72096,0.43882,0.99117,1.85355,1.04328,0.000759318,0.000759318,0.000759318
57,3730.79,1.23702,2.51267,1.10574,0.7967,0.66371,0.7252,0.44487,1.01311,1.87229,1.05043,0.000742815,0.000742815,0.000742815
58,3795.98,1.2431,2.42505,1.10943,0.84361,0.62566,0.72616,0.45612,0.97976,1.79797,1.04289,0.000726312,0.000726312,0.000726312
59,3861.04,1.22854,2.4167,1.11393,0.81699,0.66383,0.72225,0.44015,0.99803,1.89153,1.05634,0.000709809,0.000709809,0.000709809
60,3925.78,1.22407,2.43504,1.10427,0.89653,0.64598,0.73664,0.44132,1.00171,1.76796,1.05043,0.000693305,0.000693305,0.000693305
61,3990.4,1.20258,2.32719,1.10389,0.84063,0.65095,0.7527,0.45304,0.99883,1.7464,1.05302,0.000676802,0.000676802,0.000676802
62,4055.09,1.2562,2.50425,1.10958,0.89109,0.62944,0.72468,0.44088,1.00937,1.86826,1.05279,0.000660299,0.000660299,0.000660299
63,4119.89,1.21589,2.37206,1.10399,0.77802,0.66202,0.71775,0.42786,1.00194,1.85609,1.05642,0.000643795,0.000643795,0.000643795
64,4184.8,1.22423,2.37046,1.09854,0.87496,0.64858,0.75915,0.45358,1.00947,1.97142,1.04973,0.000627292,0.000627292,0.000627292
