epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1940.11,1.13593,1.82159,0.78722,1.04904,0.79528,0.64861,0.69658,0.39893,0.78572,0.6402,0.68777,0.33217,1.12438,2.07696,0.73974,1.08591,0.00134794,0.00134794,0.00134794
31,2004.62,1.09356,1.78538,0.73575,1.03219,0.872,0.56979,0.66365,0.3992,0.88907,0.58026,0.66307,0.34727,1.13804,2.0946,0.84502,1.08454,0.00133693,0.00133693,0.00133693
32,2069.37,1.09213,1.64334,0.73297,1.03359,0.82221,0.603,0.67452,0.40842,0.80342,0.58966,0.64889,0.34881,1.12427,2.07632,0.86003,1.07818,0.00132593,0.00132593,0.00132593
33,2134.03,1.097,1.68768,0.73063,1.02926,0.83944,0.58805,0.66238,0.39954,0.83437,0.5905,0.65519,0.35686,1.1324,2.04021,0.87326,1.07515,0.00131493,0.00131493,0.00131493
34,2198.19,1.03736,1.6103,0.69058,1.00323,0.79682,0.62849,0.67067,0.39401,0.84334,0.61033,0.66274,0.34896,1.08849,2.03867,0.81189,1.07546,0.00130393,0.00130393,0.00130393
35,2262.43,1.06631,1.62471,0.69955,1.02836,0.78316,0.57865,0.62863,0.37729,0.78217,0.55538,0.61573,0.32678,1.13069,2.05059,0.96504,1.08498,0.00129293,0.00129293,0.00129293
36,2326.67,1.07345,1.62187,0.70798,1.03083,0.82476,0.61046,0.68335,0.40379,0.81403,0.60187,0.65969,0.34136,1.13583,2.09324,0.83645,1.11061,0.00128192,0.00128192,0.00128192
37,2390.9,1.07216,1.66026,0.69538,1.03543,0.859,0.59897,0.66893,0.41072,0.84001,0.57796,0.64129,0.34835,1.08318,2.01474,0.85622,1.06495,0.00127092,0.00127092,0.00127092
38,2455.31,1.05007,1.62587,0.68391,1.00992,0.81129,0.62487,0.68017,0.40248,0.89725,0.57518,0.6566,0.34298,1.10921,2.01826,0.83179,1.0638,0.00125992,0.00125992,0.00125992
39,2519.48,1.04547,1.56576,0.65996,1.01612,0.78,0.63021,0.63904,0.39065,0.75771,0.61626,0.62019,0.33197,1.09139,2.06612,0.9139,1.06783,0.00124892,0.00124892,0.00124892
40,2583.61,1.05422,1.57707,0.69447,1.021,0.80551,0.62113,0.69703,0.40857,0.78163,0.60008,0.66752,0.35468,1.10848,2.00801,0.76301,1.08286,0.00123791,0.00123791,0.00123791
41,2648.23,1.02827,1.56963,0.66565,1.0042,0.85431,0.5996,0.67891,0.39339,0.81284,0.60373,0.65533,0.33545,1.12004,2.02493,0.81795,1.07686,0.00122691,0.00122691,0.00122691
42,2712.33,1.05599,1.6634,0.7073,1.01244,0.85197,0.61378,0.68126,0.40508,0.84415,0.60812,0.66392,0.36306,1.11227,2.04845,0.84298,1.06433,0.00121591,0.00121591,0.00121591
43,2776.72,1.03803,1.59047,0.66676,1.00665,0.87251,0.63294,0.71088,0.41689,0.85679,0.61828,0.6839,0.3738,1.07988,1.98871,0.79404,1.05947,0.00120491,0.00120491,0.00120491
44,2841.38,1.06053,1.62671,0.67528,1.01086,0.85361,0.63608,0.70641,0.41268,0.84485,0.63767,0.68803,0.35687,1.1035,2.04822,0.7547,1.0637,0.00119391,0.00119391,0.00119391
45,2905.75,1.05911,1.60227,0.66926,1.01127,0.8751,0.5979,0.68476,0.41441,0.88401,0.58991,0.67262,0.35079,1.10511,2.04073,0.78186,1.07556,0.0011829,0.0011829,0.0011829
46,2970.3,1.03805,1.58761,0.66901,1.01154,0.8275,0.63032,0.70289,0.4156,0.80965,0.61714,0.66981,0.35535,1.08707,1.95982,0.71613,1.04924,0.0011719,0.0011719,0.0011719
47,3034.15,1.02999,1.56081,0.66428,1.00961,0.86171,0.60972,0.6914,0.40817,0.8712,0.59848,0.67026,0.35312,1.09256,2.08194,0.79342,1.07106,0.0011609,0.0011609,0.0011609
48,3098.4,1.01873,1.51169,0.62706,0.999,0.85339,0.63534,0.69635,0.41637,0.84809,0.62454,0.67323,0.35925,1.09561,1.97507,0.78715,1.06475,0.0011499,0.0011499,0.0011499
49,3162.51,1.02703,1.58903,0.65597,1.00639,0.86349,0.64361,0.72309,0.42077,0.84195,0.62624,0.67722,0.36617,1.09522,2.05581,0.73689,1.05851,0.00113889,0.00113889,0.00113889
50,3226.44,1.02418,1.50999,0.62379,1.004,0.87293,0.61377,0.71123,0.40929,0.8718,0.61259,0.69468,0.36342,1.1114,2.01628,0.78541,1.07563,0.00112789,0.00112789,0.00112789
51,3290.76,1.03173,1.51115,0.64166,0.99215,0.76567,0.63139,0.63073,0.3829,0.76487,0.63458,0.62388,0.32545,1.08392,2.03208,0.7688,1.07035,0.00111689,0.00111689,0.00111689
52,3355.09,1.01711,1.54824,0.61685,0.99623,0.77456,0.60608,0.64831,0.39738,0.76953,0.60748,0.63138,0.33895,1.07979,2.06264,0.80054,1.06577,0.00110589,0.00110589,0.00110589
53,3419.23,0.98703,1.48671,0.61029,0.99635,0.76458,0.60423,0.66231,0.38112,0.78061,0.58133,0.62805,0.33104,1.12227,2.07758,0.81218,1.0685,0.00109489,0.00109489,0.00109489
54,3483.51,1.01812,1.54695,0.62374,0.99041,0.85456,0.6255,0.69343,0.41778,0.87304,0.58364,0.66188,0.35848,1.05515,1.99551,0.81396,1.05293,0.00108388,0.00108388,0.00108388
55,3548.03,1.0315,1.58593,0.63924,0.99178,0.84468,0.56886,0.6862,0.40771,0.84051,0.56376,0.67192,0.36492,1.07544,2.08103,0.90889,1.05445,0.00107288,0.00107288,0.00107288
56,3612.22,0.98002,1.50111,0.61617,1.00072,0.88674,0.55919,0.66999,0.40951,0.88119,0.5558,0.66427,0.35718,1.06073,2.00629,0.85425,1.03749,0.00106188,0.00106188,0.00106188
57,3676.31,0.97983,1.44411,0.60673,0.98724,0.87264,0.63704,0.70312,0.41281,0.88294,0.64501,0.70941,0.36624,1.08643,1.94264,0.75498,1.05947,0.00105088,0.00105088,0.00105088
