epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.8497,1.3209,1.65232,1.17737,0.74116,0.18937,0.13936,0.09069,1.47399,2.66375,1.39996,0.000550425,0.000550425,0.000550425
2,129.21,1.40437,1.24873,1.2382,0.10117,0.22458,0.06526,0.03887,1.50228,4.29309,1.36779,0.00109514,0.00109514,0.00109514
3,191.289,1.42619,1.29929,1.26967,0.43998,0.32895,0.2982,0.15507,1.5528,2.07529,1.39789,0.00162886,0.00162886,0.00162886
4,253.506,1.44118,1.23787,1.28268,0.68438,0.18985,0.19607,0.10004,2.01833,2.54608,1.7102,0.00161749,0.00161749,0.00161749
5,315.491,1.40518,1.12573,1.23944,0.71204,0.50361,0.52511,0.27551,1.34107,1.9566,1.25529,0.00160099,0.00160099,0.00160099
6,377.634,1.306,1.02344,1.20614,0.75141,0.48135,0.55068,0.30221,1.27791,1.06888,1.22931,0.00158448,0.00158448,0.00158448
7,439.888,1.30766,1.02459,1.20572,0.84659,0.53791,0.61871,0.35335,1.26304,1.15862,1.22023,0.00156798,0.00156798,0.00156798
8,502.087,1.30185,0.97982,1.19229,0.65592,0.57494,0.63902,0.3643,1.23314,1.05609,1.1913,0.00155148,0.00155148,0.00155148
9,564.328,1.27577,0.93042,1.17347,0.7805,0.5294,0.59727,0.34175,1.23634,1.10651,1.21698,0.00153497,0.00153497,0.00153497
10,626.411,1.30223,0.95198,1.18278,0.7611,0.57445,0.63786,0.36256,1.25669,0.97339,1.20035,0.00151847,0.00151847,0.00151847
11,688.27,1.29136,0.92492,1.18624,0.74967,0.59563,0.66601,0.38932,1.17545,0.86841,1.17824,0.00150197,0.00150197,0.00150197
12,750.423,1.2117,0.86772,1.16373,0.79412,0.50375,0.5864,0.33456,1.22279,0.88044,1.19276,0.00148546,0.00148546,0.00148546
13,812.358,1.25028,0.86003,1.16533,0.82088,0.60103,0.68103,0.37156,1.23507,0.95539,1.18658,0.00146896,0.00146896,0.00146896
14,874.203,1.22529,0.85969,1.1632,0.76369,0.61806,0.68501,0.40071,1.1296,0.7958,1.13434,0.00145246,0.00145246,0.00145246
15,936.269,1.20602,0.85929,1.13875,0.65264,0.56488,0.60616,0.34498,1.16857,0.79403,1.14318,0.00143595,0.00143595,0.00143595
16,998.18,1.22367,0.81751,1.13631,0.87164,0.59252,0.6893,0.39539,1.14538,0.77839,1.13993,0.00141945,0.00141945,0.00141945
17,1060.09,1.18101,0.78904,1.14225,0.78638,0.5794,0.68618,0.38242,1.15552,0.82765,1.14452,0.00140295,0.00140295,0.00140295
18,1122.06,1.21333,0.83064,1.1333,0.75095,0.63309,0.68713,0.39639,1.13885,0.81112,1.14038,0.00138644,0.00138644,0.00138644
19,1183.99,1.16608,0.79267,1.12301,0.79891,0.65381,0.71315,0.39534,1.15828,0.78846,1.14691,0.00136994,0.00136994,0.00136994
20,1245.89,1.15076,0.76071,1.11444,0.80792,0.62802,0.6892,0.38135,1.13855,0.82176,1.13948,0.00135344,0.00135344,0.00135344
21,1307.8,1.14454,0.71964,1.10492,0.87409,0.57913,0.70436,0.42091,1.10168,0.8181,1.11836,0.00133693,0.00133693,0.00133693
22,1370.05,1.13357,0.71518,1.10419,0.85429,0.56778,0.68584,0.4041,1.09236,0.79958,1.12867,0.00132043,0.00132043,0.00132043
23,1431.99,1.14936,0.74912,1.10046,0.7868,0.59162,0.65571,0.37819,1.15183,0.8403,1.14513,0.00130393,0.00130393,0.00130393
24,1493.81,1.11409,0.7232,1.09319,0.80435,0.67287,0.75818,0.43258,1.11229,0.747,1.12586,0.00128742,0.00128742,0.00128742
25,1555.87,1.12412,0.70788,1.10247,0.84182,0.62961,0.7325,0.43201,1.07016,0.68419,1.11119,0.00127092,0.00127092,0.00127092
26,1617.61,1.09522,0.67954,1.0995,0.81328,0.65142,0.73296,0.43237,1.1205,0.80049,1.12814,0.00125442,0.00125442,0.00125442
27,1679.55,1.12592,0.69333,1.10316,0.82589,0.66661,0.74976,0.44625,1.10028,0.72507,1.11813,0.00123791,0.00123791,0.00123791
28,1741.79,1.11716,0.68681,1.09321,0.82699,0.65901,0.73763,0.42744,1.16802,0.77954,1.1436,0.00122141,0.00122141,0.00122141
29,1803.78,1.09726,0.66536,1.0816,0.86963,0.64115,0.75159,0.44921,1.09496,0.70222,1.12471,0.00120491,0.00120491,0.00120491
30,1865.98,1.11976,0.68595,1.10041,0.85794,0.62602,0.72593,0.43815,1.06698,0.68945,1.09766,0.0011884,0.0011884,0.0011884
31,1927.88,1.07997,0.67046,1.08451,0.81266,0.6664,0.75844,0.44627,1.09854,0.70176,1.11184,0.0011719,0.0011719,0.0011719
32,1989.77,1.10415,0.66147,1.08803,0.85943,0.65664,0.74822,0.4432,1.10493,0.68805,1.11355,0.0011554,0.0011554,0.0011554
33,2051.58,1.08197,0.67592,1.08397,0.76221,0.67029,0.74324,0.43559,1.07708,0.74719,1.10627,0.00113889,0.00113889,0.00113889
34,2113.39,1.07295,0.64211,1.06554,0.84537,0.66804,0.7524,0.44584,1.08789,0.66815,1.10819,0.00112239,0.00112239,0.00112239
