epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8655,1.55069,6.51992,1.2841,0.00119,0.0006,0.00046,0.00037,nan,nan,nan,0.000545182,0.000545182,0.000545182
2,134.751,1.70224,4.9189,1.35261,0.00404,0.01553,0.00081,0.00045,3.33486,inf,3.37446,0.00108995,0.00108995,0.00108995
3,199.713,1.68281,4.68498,1.35706,0.20682,0.10838,0.08045,0.0411,2.50234,11.4867,2.26744,0.00162372,0.00162372,0.00162372
4,264.918,1.71387,4.77794,1.37633,0.03105,0.13944,0.01669,0.00763,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,329.622,1.67425,4.49305,1.3427,0.53646,0.32245,0.31519,0.15796,1.65,6.8839,1.43456,0.00160099,0.00160099,0.00160099
6,394.785,1.61482,4.10807,1.30881,0.67393,0.45168,0.4902,0.26304,1.37669,4.77067,1.26867,0.00158448,0.00158448,0.00158448
7,460.037,1.60805,4.17996,1.30198,0.62049,0.5155,0.55221,0.30571,1.32214,9.95648,1.24361,0.00156798,0.00156798,0.00156798
8,525.544,1.5839,4.04837,1.27925,0.45713,0.5164,0.53973,0.30432,1.29276,7.12507,1.20407,0.00155148,0.00155148,0.00155148
9,590.151,1.52503,3.81484,1.25318,0.78171,0.53159,0.58107,0.33156,1.3445,3.5247,1.2497,0.00153497,0.00153497,0.00153497
10,655.344,1.51757,3.76033,1.24899,0.72099,0.4932,0.55297,0.3002,1.2941,4.14181,1.18541,0.00151847,0.00151847,0.00151847
11,720.053,1.4713,3.46884,1.23763,0.65768,0.53806,0.62233,0.33758,1.23929,4.14387,1.1879,0.00150197,0.00150197,0.00150197
12,785.241,1.48879,3.57629,1.23678,0.76714,0.46188,0.59472,0.33644,1.27167,3.61235,1.19436,0.00148546,0.00148546,0.00148546
13,849.963,1.47026,3.54403,1.22808,0.70371,0.45586,0.53616,0.31024,1.26441,3.61791,1.17541,0.00146896,0.00146896,0.00146896
14,914.934,1.47952,3.44359,1.21022,0.65865,0.48658,0.53707,0.28665,1.2171,4.7761,1.17181,0.00145246,0.00145246,0.00145246
15,979.522,1.45004,3.49709,1.22021,0.72739,0.54747,0.6093,0.33776,1.23422,2.80478,1.15869,0.00143595,0.00143595,0.00143595
16,1044.26,1.42423,3.29492,1.20591,0.85707,0.53446,0.63268,0.35357,1.20882,2.76765,1.16175,0.00141945,0.00141945,0.00141945
17,1109.32,1.44165,3.34102,1.19362,0.85012,0.5759,0.66507,0.38672,1.17046,3.35311,1.13728,0.00140295,0.00140295,0.00140295
18,1174.39,1.42446,3.2255,1.19839,0.82354,0.66038,0.72191,0.41316,1.14956,2.56072,1.12387,0.00138644,0.00138644,0.00138644
19,1239.37,1.41315,3.19916,1.18129,0.67474,0.53517,0.59517,0.33741,1.22889,3.65263,1.14938,0.00136994,0.00136994,0.00136994
20,1304,1.39165,3.13636,1.18226,0.79786,0.58935,0.65918,0.39191,1.17128,2.65239,1.12927,0.00135344,0.00135344,0.00135344
21,1368.5,1.38233,3.10767,1.19786,0.86352,0.63718,0.70471,0.39031,1.20586,2.87824,1.14858,0.00133693,0.00133693,0.00133693
22,1433.1,1.35739,3.04824,1.1825,0.77454,0.6008,0.6753,0.40607,1.13177,2.57498,1.12097,0.00132043,0.00132043,0.00132043
23,1497.79,1.37481,3.06495,1.18836,0.81391,0.615,0.68377,0.38405,1.18513,2.47344,1.13087,0.00130393,0.00130393,0.00130393
24,1562.31,1.35877,2.96395,1.1763,0.82389,0.58162,0.68507,0.38435,1.13341,2.63987,1.11485,0.00128742,0.00128742,0.00128742
25,1626.89,1.32912,2.95472,1.17429,0.86362,0.60995,0.69203,0.40652,1.12186,2.81613,1.11408,0.00127092,0.00127092,0.00127092
26,1691.63,1.3322,2.91104,1.16791,0.80858,0.62414,0.68974,0.40925,1.12757,2.45858,1.11341,0.00125442,0.00125442,0.00125442
27,1756.22,1.35181,2.93131,1.17055,0.7982,0.63041,0.70016,0.40845,1.12562,2.56303,1.11226,0.00123791,0.00123791,0.00123791
28,1820.77,1.30725,2.86329,1.15255,0.84088,0.5853,0.67032,0.37925,1.1753,2.44198,1.13122,0.00122141,0.00122141,0.00122141
29,1885.39,1.32667,2.80588,1.16577,0.79242,0.57925,0.67204,0.38467,1.13618,2.52417,1.10884,0.00120491,0.00120491,0.00120491
30,1950.04,1.35263,2.92732,1.16813,0.82619,0.61491,0.71999,0.41524,1.10221,2.2106,1.10228,0.0011884,0.0011884,0.0011884
31,2015.09,1.30167,2.73581,1.15138,0.82774,0.58879,0.6643,0.38464,1.13461,2.4494,1.12078,0.0011719,0.0011719,0.0011719
32,2079.67,1.35058,2.86098,1.16645,0.8716,0.58491,0.69535,0.39175,1.19629,2.40976,1.13706,0.0011554,0.0011554,0.0011554
33,2144.41,1.32474,2.77714,1.15241,0.78458,0.65679,0.74826,0.41524,1.16733,2.30865,1.12597,0.00113889,0.00113889,0.00113889
34,2209.46,1.31748,2.72213,1.13037,0.83468,0.66331,0.74313,0.42265,1.1521,2.27266,1.12243,0.00112239,0.00112239,0.00112239
