epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3272,1.29876,2.30632,2.12105,1.11079,0.20778,0.15938,0.07282,0.04234,0.22287,0.0853,0.05517,0.0236,2.03845,nan,inf,3.30204,0.000545182,0.000545182,0.000545182
2,151.965,1.35995,2.36719,1.31893,1.17156,2e-05,0.00182,1e-05,0,2e-05,0.00182,1e-05,0,nan,nan,nan,nan,0.00108995,0.00108995,0.00108995
3,223.433,1.37361,2.26395,1.27782,1.17104,0.00515,0.00667,0.00055,0.00027,0.0042,0.00545,0.00042,0.00017,nan,nan,nan,nan,0.00162372,0.00162372,0.00162372
4,294.716,1.45287,2.40642,1.30745,1.21246,0.26819,0.19768,0.17929,0.1033,0.26268,0.18677,0.17104,0.08231,1.64276,5.0596,inf,1.52815,0.00161749,0.00161749,0.00161749
5,367.038,1.38851,2.30272,1.18154,1.18325,0.62609,0.47449,0.47877,0.23924,0.60646,0.45566,0.44927,0.2224,1.49616,2.78708,2.61471,1.44806,0.00160099,0.00160099,0.00160099
6,438.601,1.36941,2.19899,1.18166,1.17577,0.52119,0.42964,0.39668,0.21557,0.52129,0.42298,0.38613,0.18989,1.46411,2.80738,2.56514,1.32922,0.00158448,0.00158448,0.00158448
7,510.364,1.31467,2.21306,1.1284,1.16197,0.6519,0.46973,0.48259,0.25172,0.6219,0.46043,0.4569,0.22677,1.4443,2.6625,1.59283,1.32612,0.00156798,0.00156798,0.00156798
8,581.678,1.27127,1.96152,1.04365,1.1343,0.47027,0.42868,0.42218,0.25213,0.47535,0.42381,0.40749,0.21715,1.30003,2.43707,1.30233,1.20681,0.00155148,0.00155148,0.00155148
9,653.498,1.24014,1.97333,1.01079,1.12345,0.62215,0.4396,0.48481,0.27211,0.60318,0.42985,0.45792,0.23176,1.31228,2.51171,1.62101,1.21735,0.00153497,0.00153497,0.00153497
10,724.837,1.2653,2.03806,1.02571,1.12688,0.7859,0.50839,0.56186,0.31842,0.76841,0.49922,0.54476,0.28045,1.30888,2.34093,1.33753,1.2141,0.00151847,0.00151847,0.00151847
11,797.033,1.23005,1.95771,0.95364,1.09959,0.68997,0.52494,0.56883,0.32354,0.67817,0.52194,0.55905,0.28111,1.25846,2.33793,1.41362,1.19775,0.00150197,0.00150197,0.00150197
12,868.503,1.28653,2.06125,1.01417,1.12061,0.64236,0.53832,0.56235,0.33573,0.65427,0.52841,0.551,0.29286,1.25195,2.19239,1.25841,1.17437,0.00148546,0.00148546,0.00148546
13,940.68,1.23984,2.11085,0.94707,1.1038,0.64813,0.53756,0.55873,0.31675,0.62306,0.53458,0.53787,0.2561,1.24588,2.23399,1.03815,1.17458,0.00146896,0.00146896,0.00146896
14,1011.6,1.18746,1.83768,0.88371,1.09487,0.6877,0.58469,0.6363,0.35433,0.65232,0.54752,0.59726,0.29157,1.25701,2.22391,1.17895,1.15774,0.00145246,0.00145246,0.00145246
15,1083.77,1.16621,1.85519,0.88972,1.06805,0.8632,0.46176,0.58158,0.33881,0.85862,0.45813,0.55874,0.29053,1.24779,2.27568,1.17817,1.1679,0.00143595,0.00143595,0.00143595
16,1154.99,1.13677,1.80182,0.81541,1.05504,0.7579,0.48925,0.57515,0.32826,0.74098,0.47143,0.54462,0.26594,1.29602,2.35352,1.31891,1.21079,0.00141945,0.00141945,0.00141945
17,1226.96,1.16919,1.85481,0.86946,1.08341,0.71139,0.54873,0.59033,0.33177,0.71187,0.55116,0.56742,0.29256,1.26517,2.22006,1.03128,1.17451,0.00140295,0.00140295,0.00140295
18,1297.95,1.13848,1.7794,0.83301,1.05717,0.58654,0.55277,0.59504,0.33959,0.61206,0.53744,0.58876,0.29069,1.23217,2.1872,1.09716,1.15854,0.00138644,0.00138644,0.00138644
19,1369.74,1.14549,1.82073,0.83329,1.07205,0.70337,0.56209,0.60156,0.35636,0.69337,0.53966,0.58422,0.3043,1.22098,2.31515,0.98923,1.15173,0.00136994,0.00136994,0.00136994
20,1441.15,1.16178,1.75463,0.80294,1.06664,0.82479,0.58695,0.66079,0.37779,0.81686,0.58089,0.64284,0.32161,1.20295,2.23081,0.94708,1.1462,0.00135344,0.00135344,0.00135344
21,1514,1.13236,1.8068,0.83827,1.06062,0.72779,0.60423,0.66214,0.38082,0.68751,0.58123,0.62008,0.31922,1.22048,2.11077,0.88557,1.1359,0.00133693,0.00133693,0.00133693
22,1585.87,1.13116,1.86197,0.8216,1.05059,0.7731,0.5793,0.6703,0.37414,0.72949,0.5739,0.65293,0.32779,1.17223,2.12807,0.85342,1.11324,0.00132043,0.00132043,0.00132043
23,1658.93,1.11287,1.74184,0.78592,1.05185,0.69968,0.5597,0.63936,0.37072,0.68816,0.55085,0.62206,0.32484,1.24002,2.13804,0.95853,1.17487,0.00130393,0.00130393,0.00130393
24,1730.8,1.11079,1.72163,0.77077,1.0479,0.79584,0.57392,0.67659,0.37679,0.80757,0.55142,0.64251,0.32203,1.22303,2.14749,0.94162,1.14689,0.00128742,0.00128742,0.00128742
25,1803.56,1.0969,1.66609,0.77152,1.04211,0.77679,0.59405,0.66725,0.37716,0.75218,0.58771,0.6497,0.32561,1.17785,2.08359,0.82614,1.12957,0.00127092,0.00127092,0.00127092
26,1875.88,1.1078,1.71339,0.74717,1.04332,0.73024,0.61986,0.67484,0.37832,0.77077,0.57287,0.65778,0.33305,1.21828,2.13641,0.86632,1.1436,0.00125442,0.00125442,0.00125442
27,1948.97,1.0512,1.59845,0.72994,1.03027,0.72544,0.62635,0.68303,0.40365,0.75667,0.58692,0.65938,0.33829,1.15081,2.0603,0.8631,1.11558,0.00123791,0.00123791,0.00123791
28,2021.25,1.06577,1.65074,0.70674,1.03002,0.86942,0.66575,0.74041,0.41899,0.82132,0.6645,0.71427,0.36167,1.16961,2.06612,0.76951,1.11982,0.00122141,0.00122141,0.00122141
29,2094.34,1.08825,1.66647,0.73655,1.0349,0.85201,0.65786,0.7406,0.41782,0.84356,0.6484,0.72001,0.35065,1.19239,2.05048,0.76139,1.13579,0.00120491,0.00120491,0.00120491
30,2166.29,1.05984,1.58716,0.71491,1.01905,0.77704,0.64858,0.69899,0.38792,0.75451,0.61325,0.66381,0.32244,1.23252,2.1381,0.83358,1.15822,0.0011884,0.0011884,0.0011884
31,2239.19,1.07114,1.64774,0.69721,1.02416,0.77961,0.64099,0.71148,0.42008,0.79153,0.6126,0.69108,0.36051,1.1454,2.05134,0.81336,1.1138,0.0011719,0.0011719,0.0011719
32,2310.67,1.05263,1.62453,0.70634,1.02455,0.86316,0.63522,0.73253,0.43284,0.87967,0.61028,0.71197,0.35904,1.11631,2.11187,0.74935,1.11024,0.0011554,0.0011554,0.0011554
33,2383.41,1.02608,1.58147,0.6672,1.01535,0.80251,0.6057,0.6848,0.4009,0.79388,0.59176,0.66138,0.33791,1.17713,2.08995,0.94954,1.13461,0.00113889,0.00113889,0.00113889
34,2454.91,1.02441,1.57854,0.68576,1.01127,0.79178,0.58665,0.66947,0.3998,0.78331,0.57756,0.65582,0.34504,1.14865,2.09362,0.8493,1.1129,0.00112239,0.00112239,0.00112239
