epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5581,1.47301,6.51081,1.24594,0.00014,0.01945,7e-05,2e-05,nan,nan,nan,0.000545182,0.000545182,0.000545182
2,142.02,1.6064,4.54694,1.31816,2e-05,0.00121,1e-05,0,nan,nan,nan,0.00108995,0.00108995,0.00108995
3,208.129,1.59041,4.46174,1.31641,0.06557,0.31701,0.02928,0.01268,1.63182,117.91,1.68937,0.00162372,0.00162372,0.00162372
4,274.809,1.59186,4.29779,1.33089,0.65528,0.34752,0.40339,0.21151,1.57314,14.1481,1.50985,0.00161749,0.00161749,0.00161749
5,341.3,1.56276,4.08034,1.30499,0.36523,0.2192,0.21443,0.1118,1.74638,6.95321,1.55954,0.00160099,0.00160099,0.00160099
6,407.439,1.55192,3.9715,1.2919,0.71838,0.47938,0.52973,0.27129,1.39545,6.7706,1.29298,0.00158448,0.00158448,0.00158448
7,473.981,1.48127,3.76563,1.25341,0.58295,0.46319,0.44593,0.2625,1.30239,3.53824,1.24449,0.00156798,0.00156798,0.00156798
8,539.98,1.46304,3.62603,1.23123,0.69068,0.50648,0.53759,0.2934,1.29523,4.50931,1.21723,0.00155148,0.00155148,0.00155148
9,606.63,1.41099,3.55841,1.21702,0.56306,0.48696,0.49024,0.27308,1.2925,4.09491,1.22357,0.00153497,0.00153497,0.00153497
10,672.632,1.41654,3.50728,1.22396,0.81601,0.46815,0.57378,0.31168,1.31372,3.06254,1.2273,0.00151847,0.00151847,0.00151847
11,739.24,1.43062,3.44017,1.21692,0.66387,0.54509,0.55783,0.30338,1.33727,3.35516,1.24927,0.00150197,0.00150197,0.00150197
12,805.425,1.40555,3.37243,1.1982,0.64887,0.43904,0.48149,0.29364,1.27938,4.6672,1.24613,0.00148546,0.00148546,0.00148546
13,871.267,1.36698,3.20275,1.19333,0.81685,0.5592,0.62885,0.35656,1.23825,2.75527,1.20002,0.00146896,0.00146896,0.00146896
14,937.65,1.34354,3.1489,1.18432,0.77725,0.55039,0.62977,0.34903,1.23677,3.30983,1.19518,0.00145246,0.00145246,0.00145246
15,1003.76,1.35767,3.19966,1.18798,0.79868,0.52053,0.60562,0.33884,1.23418,3.23664,1.17659,0.00143595,0.00143595,0.00143595
16,1069.72,1.34709,3.0868,1.18134,0.76027,0.53084,0.6335,0.36435,1.21715,2.7102,1.17466,0.00141945,0.00141945,0.00141945
17,1136.12,1.33183,2.94217,1.17314,0.79671,0.48809,0.54748,0.30599,1.30711,2.79808,1.20928,0.00140295,0.00140295,0.00140295
18,1202.22,1.36823,3.16916,1.17401,0.62785,0.64286,0.64664,0.36361,1.17944,3.63709,1.16006,0.00138644,0.00138644,0.00138644
19,1268.64,1.35036,2.96371,1.17498,0.68376,0.5513,0.61187,0.33865,1.22606,3.28915,1.18481,0.00136994,0.00136994,0.00136994
20,1334.53,1.34702,3.01856,1.16507,0.72432,0.53223,0.60398,0.33302,1.21621,2.65896,1.18704,0.00135344,0.00135344,0.00135344
21,1400.56,1.30648,2.84707,1.15334,0.83783,0.5656,0.65282,0.3667,1.22264,2.96116,1.18394,0.00133693,0.00133693,0.00133693
22,1467.05,1.32815,2.92647,1.17014,0.82876,0.56829,0.69485,0.38645,1.20907,2.77025,1.1626,0.00132043,0.00132043,0.00132043
23,1533.5,1.28648,2.87052,1.15393,0.78856,0.57716,0.6462,0.36714,1.22293,2.68533,1.17451,0.00130393,0.00130393,0.00130393
24,1599.37,1.25729,2.75451,1.15055,0.84743,0.5514,0.6873,0.37589,1.21325,2.65461,1.15877,0.00128742,0.00128742,0.00128742
25,1665.42,1.28956,2.80634,1.14477,0.80686,0.64615,0.72922,0.41484,1.13696,2.25037,1.13863,0.00127092,0.00127092,0.00127092
26,1731.99,1.2954,2.73522,1.14251,0.77843,0.57408,0.65474,0.38384,1.17392,2.46189,1.14987,0.00125442,0.00125442,0.00125442
27,1797.83,1.25065,2.67023,1.12925,0.77558,0.62155,0.70745,0.40039,1.1704,2.39042,1.15829,0.00123791,0.00123791,0.00123791
28,1863.71,1.28216,2.71704,1.14456,0.81434,0.66068,0.73848,0.4087,1.19281,2.54779,1.14859,0.00122141,0.00122141,0.00122141
29,1929.62,1.27712,2.66053,1.13097,0.68985,0.46733,0.5069,0.30656,1.15618,3.12028,1.15707,0.00120491,0.00120491,0.00120491
30,1995.4,1.27676,2.77786,1.13982,0.85136,0.5858,0.71418,0.40888,1.17735,2.29901,1.14827,0.0011884,0.0011884,0.0011884
31,2061.27,1.2643,2.71632,1.13973,0.82896,0.63567,0.74052,0.41913,1.16079,2.31328,1.1344,0.0011719,0.0011719,0.0011719
32,2127.67,1.23682,2.62648,1.11219,0.77273,0.60619,0.6823,0.38978,1.15526,2.22494,1.14269,0.0011554,0.0011554,0.0011554
33,2193.63,1.23829,2.55356,1.11327,0.75291,0.58651,0.68376,0.3899,1.15119,2.64615,1.15656,0.00113889,0.00113889,0.00113889
34,2259.53,1.21348,2.49455,1.10931,0.76462,0.64271,0.70695,0.40844,1.12821,2.2514,1.1262,0.00112239,0.00112239,0.00112239
35,2325.4,1.21647,2.51361,1.10873,0.79386,0.67109,0.74088,0.42164,1.1539,2.09598,1.13068,0.00110589,0.00110589,0.00110589
36,2392.03,1.22788,2.50258,1.1188,0.85069,0.65977,0.74192,0.41018,1.16539,2.18315,1.1363,0.00108938,0.00108938,0.00108938
37,2457.94,1.21969,2.48927,1.1118,0.78855,0.63144,0.7238,0.42106,1.13273,2.17186,1.12393,0.00107288,0.00107288,0.00107288
38,2524.03,1.2293,2.49018,1.1115,0.84298,0.61087,0.72061,0.41315,1.1292,2.15266,1.1201,0.00105638,0.00105638,0.00105638
39,2590.27,1.21673,2.48952,1.11685,0.83965,0.57409,0.66882,0.38823,1.13785,2.40745,1.1371,0.00103987,0.00103987,0.00103987
40,2656.43,1.19681,2.41004,1.10488,0.81498,0.63506,0.72152,0.42516,1.12025,2.14875,1.12696,0.00102337,0.00102337,0.00102337
41,2723.13,1.19022,2.33413,1.11226,0.84431,0.63325,0.73928,0.43063,1.12067,2.23801,1.12491,0.00100687,0.00100687,0.00100687
42,2789.69,1.20486,2.35928,1.10831,0.79273,0.61583,0.72101,0.41736,1.14654,2.17877,1.12915,0.000990365,0.000990365,0.000990365
43,2855.74,1.18302,2.27639,1.10036,0.8905,0.6101,0.74369,0.43127,1.1149,2.01734,1.11154,0.000973861,0.000973861,0.000973861
