epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2369.48,0.00833,0.01414,3.35765,1.07754,0.63972,0.5572,0.61151,0.37841,0.63295,0.56504,0.60208,0.31991,0.00741,0.01305,3.12507,1.11237,0.000742815,0.000742815,0.000742815
30,2450.87,0.00808,0.01367,3.23406,1.08443,0.76641,0.62844,0.65679,0.40239,0.75783,0.61618,0.6486,0.3429,0.00732,0.01326,2.91849,1.10975,0.000709809,0.000709809,0.000709809
31,2532.1,0.0081,0.01375,3.25417,1.07227,0.77572,0.6106,0.68018,0.41916,0.7695,0.60168,0.66695,0.3547,0.00713,0.01263,2.72742,1.09377,0.000676802,0.000676802,0.000676802
32,2613.77,0.00808,0.01393,3.22063,1.07772,0.76276,0.63968,0.66751,0.40815,0.74451,0.62473,0.63487,0.32839,0.0072,0.01307,2.79511,1.10461,0.000643795,0.000643795,0.000643795
33,2695.01,0.00803,0.01347,3.16482,1.06551,0.70807,0.64322,0.6593,0.41685,0.70907,0.64026,0.65305,0.35558,0.00732,0.01295,2.70283,1.11212,0.000610789,0.000610789,0.000610789
34,2776.27,0.00793,0.01369,3.11762,1.0776,0.79122,0.56739,0.66734,0.39702,0.78603,0.5616,0.64901,0.33072,0.00717,0.01281,2.98193,1.09533,0.000577782,0.000577782,0.000577782
35,2857.61,0.00811,0.01393,3.14896,1.06566,0.81136,0.605,0.66764,0.41924,0.82158,0.59727,0.65669,0.35663,0.00708,0.01324,2.58088,1.10033,0.000544776,0.000544776,0.000544776
36,2938.98,0.00807,0.01345,3.03927,1.06074,0.80871,0.64793,0.70327,0.4282,0.81438,0.63297,0.69329,0.36657,0.00718,0.0125,2.70392,1.09112,0.000511769,0.000511769,0.000511769
37,3020.66,0.00807,0.01363,3.13318,1.06218,0.92085,0.59749,0.71574,0.44448,0.89601,0.60177,0.70461,0.37152,0.00732,0.01241,2.5265,1.09737,0.000478762,0.000478762,0.000478762
38,3102.33,0.00754,0.01274,2.91898,1.0468,0.84492,0.58136,0.68085,0.42011,0.83529,0.57246,0.64931,0.35731,0.0069,0.01237,2.77828,1.08251,0.000445756,0.000445756,0.000445756
39,3183.48,0.00766,0.01266,2.89783,1.05394,0.84881,0.60478,0.68193,0.42832,0.83999,0.59678,0.66792,0.36591,0.00691,0.01222,2.60277,1.08245,0.000412749,0.000412749,0.000412749
40,3264.53,0.00785,0.01313,3.04381,1.05746,0.71349,0.68953,0.73201,0.44476,0.81986,0.60478,0.7087,0.37695,0.00688,0.01208,2.52716,1.08601,0.000379743,0.000379743,0.000379743
41,3347.69,0.00761,0.01254,2.6356,1.19412,0.82842,0.65819,0.7221,0.424,0.82057,0.64662,0.70796,0.35715,0.00706,0.01257,2.56376,1.09212,0.000346736,0.000346736,0.000346736
42,3428.67,0.00758,0.0124,2.51648,1.17891,0.88634,0.6614,0.74029,0.45302,0.87455,0.65251,0.71934,0.37807,0.00703,0.01232,2.46212,1.08508,0.000313729,0.000313729,0.000313729
43,3509.93,0.0075,0.0124,2.44806,1.1815,0.79491,0.65274,0.7347,0.44011,0.78803,0.64547,0.72734,0.3751,0.0069,0.01232,2.49248,1.08116,0.000280723,0.000280723,0.000280723
44,3590.82,0.00772,0.01268,2.41693,1.19392,0.8345,0.63787,0.71613,0.43465,0.82687,0.63075,0.70508,0.36511,0.00693,0.0123,2.48525,1.08604,0.000247716,0.000247716,0.000247716
45,3671.7,0.0075,0.01207,2.27742,1.18522,0.86399,0.64396,0.73567,0.45108,0.84293,0.62811,0.71048,0.38612,0.00702,0.01214,2.41451,1.09258,0.00021471,0.00021471,0.00021471
46,3753.1,0.00738,0.01204,2.23545,1.18411,0.78418,0.66869,0.74767,0.4607,0.77123,0.65268,0.72474,0.39545,0.00682,0.01231,2.40534,1.07052,0.000181703,0.000181703,0.000181703
47,3834.42,0.0074,0.01248,2.29325,1.16841,0.91056,0.61793,0.75333,0.45778,0.9054,0.61389,0.74107,0.38742,0.00699,0.01228,2.35356,1.08128,0.000148696,0.000148696,0.000148696
48,3915.33,0.00735,0.01199,2.20589,1.16642,0.87457,0.62269,0.73282,0.45066,0.86802,0.61598,0.71722,0.38717,0.00691,0.01211,2.35545,1.07909,0.00011569,0.00011569,0.00011569
49,3996.22,0.00733,0.01212,2.17496,1.16209,0.87915,0.65001,0.74665,0.46059,0.87014,0.642,0.73337,0.39013,0.0068,0.01192,2.36626,1.07207,8.26832e-05,8.26832e-05,8.26832e-05
50,4077.01,0.0073,0.01182,2.11712,1.17167,0.90946,0.63697,0.75138,0.46421,0.90241,0.63035,0.73364,0.39119,0.00668,0.01185,2.30489,1.06713,4.96766e-05,4.96766e-05,4.96766e-05
