epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.3027,0.00842,0.01484,4.46174,1.11066,0.34513,0.33239,0.33047,0.21453,0.34152,0.31744,0.31924,0.17759,0.00855,0.02115,9.21672,1.24916,0.000331427,0.000331427,0.000331427
2,173.214,0.01009,0.01801,4.2286,1.25601,0.05649,0.43584,0.04179,0.02163,0.05169,0.40505,0.03547,0.01522,0.00984,0.02207,33.9265,1.44155,0.000651664,0.000651664,0.000651664
3,255.187,0.01004,0.01851,3.99372,1.23605,0.69258,0.49145,0.52276,0.31632,0.69503,0.46942,0.49831,0.25937,0.00905,0.01635,3.41708,1.28116,0.000958697,0.000958697,0.000958697
4,337.458,0.01048,0.01854,4.12284,1.28681,0.66087,0.47519,0.49272,0.2781,0.68333,0.44846,0.47856,0.23883,0.00911,0.01729,4.40483,1.27236,0.00125253,0.00125253,0.00125253
5,418.844,0.01054,0.01861,4.07621,1.27533,0.68151,0.46608,0.50389,0.28028,0.65796,0.44968,0.47718,0.22166,0.00925,0.01808,3.73595,1.27363,0.00153316,0.00153316,0.00153316
6,500.13,0.01021,0.01822,3.85737,1.25177,0.78047,0.50174,0.58428,0.32566,0.73716,0.47735,0.53529,0.25793,0.00864,0.01619,2.99012,1.22088,0.00150197,0.00150197,0.00150197
7,581.669,0.0098,0.01756,3.71289,1.22011,0.88357,0.39459,0.51711,0.30872,0.88156,0.39093,0.50669,0.24969,0.00804,0.01535,5.16303,1.18132,0.00146896,0.00146896,0.00146896
8,663.034,0.00965,0.017,3.5984,1.20112,0.67407,0.45791,0.51987,0.31062,0.65181,0.4483,0.49835,0.26069,0.00824,0.0153,2.97757,1.2129,0.00143595,0.00143595,0.00143595
9,744.507,0.00947,0.01657,3.4519,1.1922,0.69777,0.51199,0.54812,0.32865,0.69912,0.49899,0.53934,0.28003,0.00804,0.01526,4.42804,1.18013,0.00140295,0.00140295,0.00140295
10,826.225,0.00951,0.01668,3.44566,1.19687,0.76646,0.46481,0.54034,0.32241,0.69327,0.44187,0.48683,0.26215,0.00834,0.01476,3.6326,1.18699,0.00136994,0.00136994,0.00136994
11,907.421,0.0094,0.01647,3.29266,1.16573,0.63006,0.52545,0.53776,0.33282,0.69726,0.47927,0.52373,0.28769,0.00788,0.01445,3.6795,1.15703,0.00133693,0.00133693,0.00133693
12,988.978,0.00879,0.01546,3.07664,1.15508,0.611,0.56691,0.56456,0.32786,0.59412,0.55107,0.53303,0.28015,0.00817,0.01427,2.51057,1.17812,0.00130393,0.00130393,0.00130393
13,1070.21,0.00904,0.01542,3.09455,1.15762,0.76385,0.51132,0.58622,0.35086,0.76162,0.50776,0.57724,0.30784,0.0083,0.01439,2.86427,1.18316,0.00127092,0.00127092,0.00127092
14,1151.87,0.00908,0.01624,3.13414,1.15863,0.81537,0.51211,0.57881,0.35048,0.80741,0.50396,0.57153,0.29483,0.00803,0.01402,2.59729,1.16764,0.00123791,0.00123791,0.00123791
15,1233.02,0.00876,0.01507,2.8603,1.13284,0.79511,0.50633,0.5788,0.35176,0.78915,0.50081,0.56685,0.294,0.00777,0.01384,2.39749,1.14272,0.00120491,0.00120491,0.00120491
16,1314.22,0.00873,0.01526,2.89172,1.14034,0.82941,0.52142,0.59996,0.35761,0.78038,0.49761,0.55668,0.29313,0.00794,0.01379,2.60165,1.15027,0.0011719,0.0011719,0.0011719
17,1395.47,0.00889,0.01512,2.88503,1.12736,0.758,0.56056,0.64173,0.38051,0.74824,0.55094,0.62943,0.3145,0.00775,0.01373,2.72416,1.13986,0.00113889,0.00113889,0.00113889
18,1477.4,0.00857,0.01484,2.83832,1.12916,0.70489,0.61956,0.646,0.38662,0.7049,0.60283,0.62869,0.31565,0.00774,0.01377,2.71678,1.14058,0.00110589,0.00110589,0.00110589
19,1559.17,0.00856,0.01447,2.75863,1.12258,0.78087,0.60985,0.64129,0.39129,0.81642,0.58241,0.62905,0.33299,0.00776,0.01352,2.33632,1.14191,0.00107288,0.00107288,0.00107288
20,1640.91,0.00831,0.01447,2.68731,1.11257,0.84951,0.60412,0.66583,0.40685,0.83802,0.58964,0.65466,0.33912,0.00775,0.01354,2.45777,1.13931,0.00103987,0.00103987,0.00103987
21,1722.45,0.00823,0.01419,2.68761,1.10566,0.73459,0.54604,0.60462,0.37543,0.72843,0.5407,0.59084,0.29587,0.00742,0.01304,2.67956,1.11061,0.00100687,0.00100687,0.00100687
22,1803.71,0.00826,0.01479,2.6618,1.10574,0.75385,0.59267,0.63888,0.38315,0.73157,0.57594,0.6144,0.31814,0.00739,0.01336,2.59006,1.12061,0.000973861,0.000973861,0.000973861
23,1885,0.00843,0.01454,2.61697,1.10249,0.79208,0.60343,0.68035,0.42384,0.78619,0.59809,0.67031,0.36382,0.00743,0.01336,2.39836,1.10791,0.000940855,0.000940855,0.000940855
24,1966.73,0.00835,0.01444,2.66687,1.10628,0.79304,0.59534,0.6773,0.41771,0.7849,0.58734,0.66743,0.35065,0.00729,0.01361,2.10251,1.11415,0.000907848,0.000907848,0.000907848
25,2048,0.00812,0.014,2.53984,1.09112,0.73881,0.59604,0.6606,0.41147,0.77697,0.59405,0.66835,0.35722,0.00708,0.0129,2.0497,1.10013,0.000874842,0.000874842,0.000874842
26,2129.22,0.0081,0.01414,2.49909,1.09483,0.69566,0.61012,0.63795,0.38691,0.70604,0.60372,0.6313,0.32805,0.00735,0.01305,2.4231,1.11031,0.000841835,0.000841835,0.000841835
27,2210.53,0.00811,0.01404,2.57224,1.09978,0.75744,0.59001,0.64773,0.41347,0.7845,0.57649,0.64504,0.34189,0.00719,0.013,2.22726,1.10847,0.000808828,0.000808828,0.000808828
28,2291.66,0.00813,0.01399,2.46702,1.0914,0.79181,0.54995,0.64104,0.40667,0.69494,0.59906,0.63945,0.3362,0.00715,0.01297,2.23317,1.10482,0.000775822,0.000775822,0.000775822
29,2372.84,0.00791,0.01338,2.40213,1.08097,0.72354,0.60349,0.66312,0.40752,0.73177,0.59179,0.65719,0.35035,0.0072,0.01286,2.24224,1.11166,0.000742815,0.000742815,0.000742815
30,2454.02,0.00813,0.01436,2.53351,1.08238,0.81393,0.59356,0.68241,0.4194,0.83395,0.54639,0.65324,0.36214,0.00713,0.01251,2.05366,1.09978,0.000709809,0.000709809,0.000709809
31,2535.26,0.00784,0.01349,2.35781,1.07927,0.7858,0.64198,0.69698,0.40936,0.72846,0.60085,0.63994,0.33845,0.00761,0.01306,2.24083,1.12053,0.000676802,0.000676802,0.000676802
32,2616.66,0.00814,0.0138,2.43124,1.07423,0.70103,0.63985,0.65989,0.41314,0.69456,0.63274,0.64671,0.35287,0.00701,0.0125,2.04633,1.08548,0.000643795,0.000643795,0.000643795
33,2697.99,0.00789,0.01383,2.33628,1.05903,0.79345,0.63795,0.68937,0.42533,0.79821,0.63759,0.68511,0.37472,0.00705,0.01248,1.95927,1.09709,0.000610789,0.000610789,0.000610789
34,2779.63,0.00785,0.01377,2.35928,1.07517,0.86016,0.63828,0.72822,0.45418,0.86024,0.63012,0.70933,0.38564,0.00683,0.01246,1.90369,1.08215,0.000577782,0.000577782,0.000577782
35,2861.3,0.00772,0.01357,2.29706,1.07555,0.84583,0.65216,0.7151,0.44649,0.84204,0.64876,0.70371,0.38602,0.00683,0.01229,1.9939,1.08301,0.000544776,0.000544776,0.000544776
36,2942.49,0.00779,0.01338,2.26721,1.06677,0.75556,0.64502,0.67871,0.42859,0.77396,0.63879,0.67737,0.3752,0.00693,0.01226,1.84907,1.08408,0.000511769,0.000511769,0.000511769
37,3023.69,0.00772,0.01308,2.21344,1.05687,0.81847,0.64057,0.70334,0.43987,0.81018,0.63256,0.69146,0.38213,0.00724,0.01226,1.93515,1.09757,0.000478762,0.000478762,0.000478762
38,3104.82,0.00766,0.01298,2.21648,1.05299,0.76075,0.64205,0.70778,0.4379,0.7431,0.62799,0.68501,0.37758,0.00678,0.01208,1.90089,1.07988,0.000445756,0.000445756,0.000445756
39,3185.96,0.00754,0.01301,2.20321,1.05141,0.82437,0.64591,0.73246,0.4342,0.80676,0.63362,0.70282,0.36082,0.00685,0.01229,1.87413,1.07699,0.000412749,0.000412749,0.000412749
