fold,set,cls,mixup,copy_paste,scale,mIoU,precision,recall,mae_val,mae_train
1,1,1.5,0.5,0.5,0.7,0,0.8780067298818689,0.6733347520749096,0.6952662721893491,0.3283914010378058
1,2,2.0,0.3,0.7,0.9,0,0.8265062804426873,0.7079830699776355,0.7514792899408284,0.49740548554484804
1,3,2.5,0.0,0.8,1.0,0,0.8452900421293188,0.6916267179770053,0.7011834319526628,0.41882876204596
2,1,1.5,0.5,0.5,0.7,0,0.8916507240271304,0.5835041683750171,1.5,1.0467012601927355
2,2,2.0,0.3,0.7,0.9,0,0.8079248478127811,0.6020582386759938,1.547337278106509,0.9747961452928094
2,3,2.5,0.0,0.8,1.0,0,0.881205912853725,0.6223483065386097,1.0917159763313609,0.42105263157894735
3,1,1.5,0.5,0.5,0.7,0,0.8607518910772743,0.6382359559820144,0.913946587537092,0.8488888888888889
3,2,2.0,0.3,0.7,0.9,0,0.909576977187276,0.6369095152919467,0.6350148367952523,0.46814814814814815
3,3,2.5,0.0,0.8,1.0,0,0.8484250756762535,0.684917025448212,0.599406528189911,0.43333333333333335
