epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2412,1.3258,1.66073,1.21526,0.00991,0.13152,0.00393,0.00227,nan,nan,nan,0.000550425,0.000550425,0.000550425
2,144.71,1.48461,1.33953,1.29604,0.00149,0.00179,0.00053,0.00018,nan,nan,nan,0.00109514,0.00109514,0.00109514
3,213.945,1.46559,1.29479,1.30651,0.24546,0.08573,0.04002,0.0154,nan,nan,nan,0.00162886,0.00162886,0.00162886
4,283.384,1.45002,1.24285,1.29508,0.47336,0.4248,0.41476,0.23722,1.38317,1.21382,1.29386,0.00161749,0.00161749,0.00161749
5,352.907,1.41991,1.17459,1.25224,0.68294,0.4458,0.5029,0.28976,1.32521,1.23656,1.24762,0.00160099,0.00160099,0.00160099
6,422.48,1.31627,1.05956,1.21932,0.74819,0.53243,0.58563,0.34077,1.26263,1.03368,1.20996,0.00158448,0.00158448,0.00158448
7,491.909,1.3032,1.04739,1.20776,0.73555,0.51077,0.56201,0.30811,1.25856,1.08442,1.21152,0.00156798,0.00156798,0.00156798
8,560.921,1.30379,0.99518,1.1958,0.7517,0.51919,0.58063,0.34276,1.20964,0.98999,1.19041,0.00155148,0.00155148,0.00155148
9,630.516,1.30079,0.97174,1.19249,0.84163,0.54911,0.6422,0.35457,1.20407,0.99581,1.17593,0.00153497,0.00153497,0.00153497
10,700.328,1.31261,0.99782,1.18996,0.67702,0.53223,0.57402,0.32288,1.21907,1.16876,1.18436,0.00151847,0.00151847,0.00151847
11,769.661,1.29977,0.9699,1.19554,0.72134,0.58714,0.61163,0.35642,1.1841,0.94081,1.16593,0.00150197,0.00150197,0.00150197
12,838.947,1.21463,0.87773,1.16316,0.81881,0.4879,0.57146,0.32722,1.1919,0.96098,1.18274,0.00148546,0.00148546,0.00148546
13,908.007,1.25896,0.89598,1.16749,0.8439,0.55818,0.6624,0.37263,1.17414,0.86485,1.16186,0.00146896,0.00146896,0.00146896
14,977.438,1.21244,0.86478,1.15616,0.85233,0.57967,0.6868,0.40122,1.12234,0.82418,1.14297,0.00145246,0.00145246,0.00145246
15,1047.02,1.21985,0.86403,1.146,0.86521,0.62149,0.6998,0.39273,1.17548,0.90521,1.16251,0.00143595,0.00143595,0.00143595
16,1116.24,1.24935,0.84715,1.15142,0.8847,0.60052,0.69177,0.3863,1.19919,0.85093,1.17346,0.00141945,0.00141945,0.00141945
17,1185.35,1.18797,0.79469,1.14961,0.76296,0.64106,0.68867,0.38963,1.14974,0.83825,1.15597,0.00140295,0.00140295,0.00140295
