epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.732,1.29615,2.20217,1.63737,1.14819,0.12845,0.23563,0.0415,0.01614,0.1081,0.25271,0.04023,0.0124,1.9671,21.3442,12.2488,2.18586,0.000553033,0.000553033,0.000553033
2,223.687,1.46803,2.37657,1.46358,1.27751,0.31421,0.18424,0.19426,0.1182,0.31135,0.18005,0.19109,0.09977,nan,nan,nan,nan,0.00110205,0.00110205,0.00110205
3,327.442,1.46811,2.42535,1.40541,1.28847,0.5102,0.11697,0.0045,0.00261,0.50994,0.11394,0.00428,0.00211,nan,nan,nan,nan,0.00164439,0.00164439,0.00164439
4,431.431,1.46636,2.41405,1.40578,1.28086,0.87612,0.25697,0.40032,0.22406,0.87168,0.25394,0.37641,0.18934,1.45202,2.66651,3.57941,1.38376,0.00163699,0.00163699,0.00163699
5,535.681,1.43768,2.30863,1.29881,1.26032,0.58256,0.45263,0.48409,0.24883,0.56824,0.44645,0.47667,0.22277,nan,nan,nan,nan,0.00162699,0.00162699,0.00162699
6,639.838,1.40016,2.27422,1.22393,1.22581,0.58758,0.41496,0.4546,0.25989,0.5608,0.41528,0.44911,0.23374,1.32353,2.24744,1.32424,1.28034,0.00161699,0.00161699,0.00161699
7,744.009,1.3679,2.20324,1.16394,1.228,0.70017,0.41449,0.46818,0.25136,0.6635,0.39736,0.44159,0.22535,1.39275,2.58008,1.31369,1.30782,0.00160699,0.00160699,0.00160699
8,847.79,1.32916,2.12636,1.16812,1.20227,0.71798,0.46943,0.52939,0.3032,0.68873,0.47274,0.52755,0.26051,1.29869,2.29786,1.10137,1.24383,0.00159699,0.00159699,0.00159699
9,951.869,1.29878,2.0331,1.08122,1.17329,0.65862,0.53111,0.55223,0.30358,0.65697,0.53081,0.54092,0.27655,1.29251,2.21673,1.06345,1.24129,0.00158698,0.00158698,0.00158698
10,1055.92,1.29584,2.07298,1.07526,1.18765,0.80068,0.45333,0.53208,0.31362,0.71979,0.44793,0.51889,0.27,1.29108,2.23088,1.05908,1.2378,0.00157698,0.00157698,0.00157698
11,1159.79,1.27881,1.95191,1.02654,1.16409,0.74622,0.54973,0.59157,0.33643,0.74677,0.55226,0.59469,0.31665,1.29387,2.17119,0.9747,1.22584,0.00156698,0.00156698,0.00156698
12,1263.75,1.22077,1.92131,1.01499,1.1485,0.76372,0.49977,0.57268,0.333,0.75992,0.49613,0.56431,0.29019,1.20131,2.10104,0.96221,1.18437,0.00155698,0.00155698,0.00155698
13,1367.45,1.24033,1.94108,0.99048,1.1506,0.76968,0.51775,0.59704,0.33562,0.76626,0.51472,0.58673,0.29477,1.24349,2.19675,0.96813,1.19191,0.00154698,0.00154698,0.00154698
14,1471.33,1.20475,1.87611,0.95764,1.14957,0.80585,0.49243,0.56631,0.31793,0.80694,0.49902,0.55866,0.27767,1.29434,2.11678,0.99366,1.23393,0.00153697,0.00153697,0.00153697
