epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9347,1.36609,1.80285,1.17232,0.36766,0.16428,0.17516,0.1055,1.94287,inf,2.03981,0.000550425,0.000550425,0.000550425
2,126.101,1.49791,1.36535,1.25778,0.55515,0.45587,0.43289,0.22345,1.45877,4.90505,1.3654,0.00109614,0.00109614,0.00109614
3,186.034,1.50669,1.34261,1.28827,0.32487,0.3467,0.25759,0.13976,nan,nan,nan,0.00163185,0.00163185,0.00163185
4,245.607,1.50644,1.37846,1.2919,0.58753,0.38266,0.38136,0.17788,1.60284,2.25602,1.36842,0.00162199,0.00162199,0.00162199
5,305.036,1.47014,1.25104,1.24617,0.49109,0.45576,0.46164,0.24187,1.38205,2.49814,1.26054,0.00160699,0.00160699,0.00160699
6,364.745,1.37648,1.12875,1.21585,0.64367,0.50649,0.54356,0.29771,1.34752,1.39275,1.23156,0.00159198,0.00159198,0.00159198
7,424.296,1.36677,1.16428,1.20642,0.79137,0.50493,0.58481,0.31094,1.28207,1.09069,1.1854,0.00157698,0.00157698,0.00157698
8,483.886,1.33556,1.05496,1.18803,0.68401,0.48992,0.56447,0.30436,1.33251,1.12714,1.22262,0.00156198,0.00156198,0.00156198
9,543.135,1.33652,1.03928,1.18602,0.82654,0.58216,0.65877,0.35485,1.23525,1.08808,1.18254,0.00154698,0.00154698,0.00154698
10,602.611,1.35848,1.04863,1.1827,0.60189,0.56191,0.59567,0.3487,1.21442,1.05623,1.15288,0.00153197,0.00153197,0.00153197
11,662.023,1.3566,1.03086,1.1835,0.70614,0.60208,0.63756,0.35603,1.30727,1.03512,1.19533,0.00151697,0.00151697,0.00151697
12,721.297,1.25057,0.94973,1.15666,0.75907,0.53295,0.61288,0.34929,1.25098,0.99541,1.18718,0.00150197,0.00150197,0.00150197
13,780.445,1.28405,0.93731,1.15611,0.8528,0.50953,0.61304,0.3375,1.20006,1.04526,1.14659,0.00148696,0.00148696,0.00148696
14,839.731,1.26293,0.92347,1.14757,0.86414,0.50221,0.60943,0.34861,1.17619,1.03834,1.12063,0.00147196,0.00147196,0.00147196
15,899.107,1.27018,0.9297,1.14112,0.82588,0.55868,0.66842,0.38069,1.16241,0.88773,1.12557,0.00145696,0.00145696,0.00145696
16,958.365,1.27563,0.91156,1.13628,0.83912,0.55045,0.63678,0.35774,1.20945,0.94431,1.13843,0.00144195,0.00144195,0.00144195
17,1017.48,1.22884,0.88881,1.14122,0.78351,0.57942,0.68502,0.39188,1.17675,0.8469,1.12146,0.00142695,0.00142695,0.00142695
