epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2601.53,0.00797,0.01357,2.24589,1.06301,0.75813,0.57864,0.62891,0.36397,0.80202,0.56535,0.62265,0.31318,0.0073,0.01487,2.59733,1.10136,0.00102887,0.00102887,0.00102887
31,2687.34,0.00798,0.01358,2.28665,1.07817,0.83131,0.6041,0.64913,0.37951,0.83705,0.59938,0.63949,0.32057,0.00759,0.01459,2.35391,1.09623,0.00100687,0.00100687,0.00100687
32,2773.27,0.00791,0.01349,2.21797,1.07955,0.82411,0.60691,0.66895,0.37759,0.808,0.595,0.6536,0.31603,0.00752,0.01425,2.72399,1.1041,0.000984864,0.000984864,0.000984864
33,2859.16,0.00796,0.01334,2.25249,1.07668,0.77054,0.64212,0.66204,0.39003,0.77321,0.64497,0.67724,0.34622,0.00767,0.01452,2.0548,1.1338,0.000962859,0.000962859,0.000962859
34,2944.94,0.00777,0.0135,2.26683,1.06912,0.85981,0.58133,0.67901,0.38126,0.85756,0.57964,0.66942,0.32471,0.00771,0.01457,2.39661,1.11135,0.000940855,0.000940855,0.000940855
35,3030.95,0.0078,0.01323,2.19613,1.06324,0.79457,0.61039,0.66961,0.38032,0.7907,0.61882,0.67064,0.34232,0.00761,0.01416,2.21167,1.11033,0.00091885,0.00091885,0.00091885
36,3116.82,0.00775,0.01309,2.2244,1.0522,0.79788,0.62475,0.67969,0.40263,0.7935,0.62136,0.66458,0.34903,0.00742,0.01448,2.36435,1.10754,0.000896846,0.000896846,0.000896846
37,3203.27,0.00768,0.01289,2.17653,1.06547,0.75632,0.62679,0.67427,0.38602,0.75143,0.62226,0.67107,0.33039,0.00765,0.01462,2.61662,1.11132,0.000874842,0.000874842,0.000874842
38,3289.09,0.00762,0.01308,2.12839,1.0492,0.81913,0.62185,0.67008,0.39693,0.82268,0.62155,0.66138,0.33214,0.00736,0.01428,2.4589,1.10305,0.000852837,0.000852837,0.000852837
39,3375.01,0.00734,0.01265,2.06689,1.04962,0.75334,0.6279,0.65211,0.39359,0.77934,0.63985,0.6597,0.33762,0.00732,0.01409,2.29801,1.09135,0.000830833,0.000830833,0.000830833
40,3461.39,0.0074,0.01247,2.04771,1.04612,0.84913,0.62339,0.66147,0.3915,0.84835,0.62283,0.649,0.34421,0.00734,0.0143,2.30712,1.08764,0.000808828,0.000808828,0.000808828
41,3547.25,0.0074,0.01305,2.02751,1.04905,0.82355,0.60127,0.67256,0.3832,0.82592,0.60242,0.65942,0.32492,0.00768,0.01405,2.34371,1.11063,0.000786824,0.000786824,0.000786824
42,3633.09,0.00758,0.01316,2.08931,1.04824,0.90097,0.60014,0.70311,0.40097,0.89514,0.59035,0.68367,0.33487,0.00769,0.01501,2.3373,1.12739,0.00076482,0.00076482,0.00076482
43,3719.11,0.00745,0.01259,2.0584,1.05209,0.80779,0.6587,0.71322,0.4127,0.85296,0.63294,0.69154,0.35006,0.00752,0.01397,2.41104,1.09913,0.000742815,0.000742815,0.000742815
44,3805.91,0.00737,0.0124,1.99894,1.0499,0.89375,0.65518,0.72239,0.40143,0.89217,0.63895,0.69491,0.34404,0.00758,0.01409,1.96596,1.10526,0.000720811,0.000720811,0.000720811
45,3891.94,0.00759,0.01324,2.05622,1.05152,0.80405,0.62575,0.67088,0.39096,0.81378,0.6166,0.66179,0.34028,0.00737,0.01395,2.42943,1.09391,0.000698806,0.000698806,0.000698806
46,3978.39,0.00733,0.0123,1.9818,1.03372,0.83376,0.57393,0.66585,0.38731,0.81903,0.56744,0.64792,0.32853,0.00736,0.01435,2.30919,1.08726,0.000676802,0.000676802,0.000676802
47,4064.17,0.0073,0.01259,1.97049,1.02927,0.83568,0.58818,0.69924,0.3994,0.82297,0.57857,0.67386,0.34323,0.00727,0.01415,2.17628,1.08143,0.000654798,0.000654798,0.000654798
48,4150.01,0.0072,0.01211,1.88942,1.02905,0.87112,0.63358,0.71785,0.42238,0.90205,0.61373,0.71313,0.35224,0.0073,0.01404,1.99348,1.08425,0.000632793,0.000632793,0.000632793
49,4236.46,0.0074,0.01245,1.9886,1.03783,0.88867,0.63813,0.7016,0.41808,0.90393,0.62566,0.69649,0.3588,0.00739,0.01406,1.9908,1.09288,0.000610789,0.000610789,0.000610789
50,4322.34,0.00746,0.01255,1.98548,1.03552,0.85847,0.636,0.72398,0.42026,0.85165,0.6309,0.70765,0.35761,0.0073,0.01415,2.14243,1.08958,0.000588784,0.000588784,0.000588784
51,4408.67,0.00741,0.0121,1.96419,1.05349,0.89564,0.63626,0.74506,0.43767,0.8895,0.63165,0.72066,0.37019,0.00737,0.01386,2.02343,1.08101,0.00056678,0.00056678,0.00056678
52,4495.65,0.00754,0.01294,1.90624,1.03617,0.87034,0.63017,0.70722,0.42,0.872,0.63075,0.68867,0.35523,0.00723,0.01417,1.97385,1.08618,0.000544776,0.000544776,0.000544776
53,4581.57,0.00715,0.01221,1.88823,1.03651,0.80707,0.66881,0.72858,0.42415,0.79413,0.66996,0.70897,0.3545,0.00727,0.01389,1.93525,1.08999,0.000522771,0.000522771,0.000522771
54,4667.21,0.00717,0.01198,1.83855,1.0208,0.8717,0.63471,0.72721,0.42471,0.84263,0.63475,0.69516,0.36685,0.00732,0.01391,2.18847,1.09426,0.000500767,0.000500767,0.000500767
55,4753.14,0.00732,0.01215,1.91234,1.02828,0.83984,0.64548,0.70179,0.40962,0.83644,0.64233,0.6981,0.34858,0.00731,0.01384,2.23179,1.09427,0.000478762,0.000478762,0.000478762
56,4838.95,0.00715,0.01203,1.80937,1.02239,0.89284,0.68216,0.76072,0.44093,0.87497,0.66855,0.72899,0.36649,0.00706,0.01364,1.95281,1.0686,0.000456758,0.000456758,0.000456758
57,4924.99,0.00704,0.01213,1.76934,1.02313,0.90402,0.62298,0.7084,0.42347,0.89893,0.61939,0.68687,0.34892,0.00708,0.01392,2.23947,1.07226,0.000434754,0.000434754,0.000434754
58,5010.54,0.00734,0.01209,1.87799,1.02511,0.84315,0.63177,0.70064,0.42,0.90089,0.59932,0.69399,0.36247,0.00724,0.01387,2.28253,1.08517,0.000412749,0.000412749,0.000412749
59,5095.55,0.00698,0.01185,1.77494,1.016,0.92394,0.62737,0.73192,0.43423,0.92846,0.63022,0.72756,0.37529,0.00728,0.01371,1.94195,1.08095,0.000390745,0.000390745,0.000390745
60,5180.47,0.00718,0.01183,1.81043,1.02189,0.86933,0.63249,0.71316,0.42822,0.87006,0.63438,0.69866,0.35611,0.00697,0.01351,2.18639,1.06336,0.00036874,0.00036874,0.00036874
61,5265.44,0.00705,0.01174,1.76049,1.01345,0.89447,0.64952,0.73912,0.43454,0.88521,0.64385,0.72212,0.36713,0.00714,0.01379,2.04948,1.076,0.000346736,0.000346736,0.000346736
62,5350.56,0.00711,0.01186,1.78336,1.0138,0.87229,0.64327,0.73803,0.43416,0.86545,0.63987,0.72213,0.36737,0.00725,0.01359,2.06576,1.08584,0.000324732,0.000324732,0.000324732
63,5435.59,0.00708,0.01183,1.73555,1.00798,0.8822,0.62516,0.71803,0.42866,0.88105,0.62776,0.70882,0.36356,0.00713,0.01348,2.19393,1.07848,0.000302727,0.000302727,0.000302727
64,5520.48,0.00704,0.01218,1.75932,1.01402,0.89014,0.6315,0.75045,0.43986,0.86716,0.61471,0.70484,0.36636,0.00709,0.01338,1.98463,1.07328,0.000280723,0.000280723,0.000280723
65,5605.66,0.00697,0.01142,1.70356,1.02065,0.89222,0.62964,0.73807,0.44465,0.86954,0.63644,0.71925,0.37792,0.00702,0.01331,2.01408,1.07335,0.000258718,0.000258718,0.000258718
66,5693.29,0.00676,0.0117,1.49426,1.09315,0.87224,0.65874,0.75278,0.44653,0.85701,0.64867,0.73416,0.37447,0.00724,0.01337,1.99279,1.0794,0.000236714,0.000236714,0.000236714
67,5778.65,0.00671,0.0119,1.41603,1.0836,0.85104,0.66422,0.72779,0.43963,0.85555,0.66808,0.71927,0.36516,0.00714,0.01358,2.04858,1.0827,0.00021471,0.00021471,0.00021471
68,5863.37,0.00666,0.01156,1.39281,1.085,0.85153,0.69468,0.74604,0.45449,0.8836,0.683,0.74537,0.3858,0.00727,0.01346,1.93319,1.07811,0.000192705,0.000192705,0.000192705
69,5948.77,0.00666,0.01149,1.37687,1.07271,0.8808,0.68829,0.75196,0.45298,0.84868,0.68015,0.72732,0.38377,0.00721,0.0133,1.92765,1.07556,0.000170701,0.000170701,0.000170701
70,6033.71,0.00655,0.01107,1.3613,1.06305,0.87944,0.67206,0.75038,0.4536,0.86611,0.66185,0.72371,0.38046,0.00696,0.01323,1.97144,1.0597,0.000148696,0.000148696,0.000148696
71,6118.67,0.00649,0.01131,1.32254,1.0627,0.87819,0.66541,0.73797,0.44705,0.87068,0.65975,0.72028,0.36717,0.00702,0.01327,2.0103,1.06673,0.000126692,0.000126692,0.000126692
72,6203.68,0.00646,0.01093,1.3228,1.05272,0.86784,0.65574,0.73832,0.44883,0.89547,0.64044,0.72836,0.37049,0.00702,0.01325,1.99306,1.06732,0.000104688,0.000104688,0.000104688
73,6288.59,0.00632,0.01094,1.29668,1.05356,0.89854,0.6444,0.74113,0.44741,0.88675,0.63702,0.71951,0.37151,0.00697,0.01328,1.99641,1.06357,8.26832e-05,8.26832e-05,8.26832e-05
74,6373.57,0.00633,0.01107,1.25007,1.04496,0.89114,0.67251,0.75193,0.45821,0.88083,0.66456,0.72572,0.38381,0.00699,0.01323,1.93575,1.06216,6.06788e-05,6.06788e-05,6.06788e-05
75,6459.1,0.00631,0.01068,1.24008,1.04972,0.91169,0.66371,0.75357,0.45651,0.89365,0.65576,0.73067,0.37919,0.007,0.01325,1.94899,1.06351,3.86744e-05,3.86744e-05,3.86744e-05
