epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3129.18,1.09211,1.68837,0.73954,1.06986,0.79907,0.6236,0.71167,0.42223,0.79973,0.60663,0.68297,0.34744,1.116,1.99897,0.72906,1.1447,0.0011884,0.0011884,0.0011884
31,3233.22,1.09894,1.61268,0.74905,1.07863,0.79839,0.61086,0.6996,0.41203,0.80012,0.5949,0.67848,0.36769,1.12205,1.88104,0.76906,1.13966,0.0011719,0.0011719,0.0011719
32,3337.34,1.07467,1.57633,0.73818,1.06845,0.91997,0.58486,0.71701,0.39707,0.91083,0.57843,0.69045,0.34535,1.19606,1.91338,0.75355,1.17885,0.0011554,0.0011554,0.0011554
33,3441.23,1.09207,1.65115,0.72845,1.07461,0.84353,0.66221,0.73667,0.4375,0.80637,0.62679,0.68998,0.36376,1.12981,1.88301,0.71003,1.13716,0.00113889,0.00113889,0.00113889
34,3545.32,1.04921,1.54388,0.71691,1.06506,0.83861,0.63692,0.70904,0.41663,0.81507,0.61034,0.68231,0.34759,1.11169,1.88088,0.74262,1.13491,0.00112239,0.00112239,0.00112239
35,3649.12,1.05857,1.61915,0.72825,1.06604,0.78545,0.62426,0.68793,0.41643,0.79253,0.59991,0.68008,0.35556,1.0925,1.91118,0.73825,1.13914,0.00110589,0.00110589,0.00110589
36,3752.92,1.07945,1.65426,0.70458,1.06418,0.8127,0.66078,0.72947,0.42736,0.8091,0.64046,0.70124,0.37307,1.0816,1.85996,0.69945,1.12513,0.00108938,0.00108938,0.00108938
37,3856.54,1.06111,1.59345,0.68905,1.05022,0.87858,0.6567,0.74172,0.42586,0.84654,0.63114,0.70377,0.37312,1.1355,1.87049,0.73808,1.15373,0.00107288,0.00107288,0.00107288
38,3960.3,1.08482,1.62554,0.7154,1.06608,0.81566,0.65715,0.72333,0.43222,0.80146,0.64144,0.71317,0.37761,1.11284,1.87619,0.716,1.14157,0.00105638,0.00105638,0.00105638
39,4064.04,1.0437,1.54009,0.69744,1.06318,0.82252,0.61643,0.72454,0.42048,0.81652,0.59914,0.69995,0.36421,1.12162,1.93488,0.70721,1.12914,0.00103987,0.00103987,0.00103987
40,4167.76,1.04905,1.57921,0.6979,1.046,0.7867,0.66698,0.72507,0.41591,0.76115,0.63874,0.68353,0.34728,1.10313,1.87991,0.72889,1.13452,0.00102337,0.00102337,0.00102337
41,4271.83,1.04632,1.59285,0.68192,1.04237,0.83322,0.69128,0.77184,0.44528,0.82755,0.64019,0.72302,0.38187,1.11099,1.86527,0.66278,1.13604,0.00100687,0.00100687,0.00100687
42,4375.88,1.02718,1.50592,0.67829,1.05096,0.86667,0.68366,0.78284,0.45118,0.83256,0.65391,0.74144,0.37013,1.13188,1.93366,0.69791,1.14939,0.000990365,0.000990365,0.000990365
43,4479.7,1.03291,1.63496,0.66562,1.04494,0.79756,0.69171,0.73482,0.42502,0.77812,0.66954,0.71654,0.37025,1.08735,1.86887,0.687,1.13492,0.000973861,0.000973861,0.000973861
44,4583.38,1.01592,1.55045,0.65676,1.04378,0.82145,0.65083,0.71745,0.42891,0.86369,0.61551,0.69817,0.36643,1.07582,1.87731,0.68409,1.13259,0.000957358,0.000957358,0.000957358
45,4686.98,1.04011,1.54801,0.65882,1.04595,0.85264,0.67467,0.76329,0.44883,0.84155,0.66144,0.74816,0.37732,1.08117,1.87179,0.64826,1.12226,0.000940855,0.000940855,0.000940855
46,4790.87,1.0393,1.56321,0.66337,1.04201,0.82837,0.66719,0.74299,0.43317,0.85321,0.63493,0.71229,0.35851,1.09301,1.8826,0.699,1.12969,0.000924352,0.000924352,0.000924352
47,4894.47,1.02234,1.48642,0.62422,1.0472,0.8748,0.67913,0.77662,0.45926,0.85275,0.65973,0.74651,0.38894,1.06341,1.88417,0.63984,1.10319,0.000907848,0.000907848,0.000907848
48,4998.37,1.03026,1.54385,0.63302,1.03904,0.81084,0.68769,0.76421,0.43249,0.81878,0.66827,0.74776,0.38704,1.0683,1.8312,0.65988,1.11361,0.000891345,0.000891345,0.000891345
49,5102.19,1.03673,1.51816,0.65611,1.05448,0.90627,0.60891,0.75376,0.45155,0.88755,0.59453,0.72065,0.38186,1.0655,1.86509,0.67689,1.11539,0.000874842,0.000874842,0.000874842
50,5205.72,1.0281,1.48735,0.6328,1.05129,0.83363,0.69834,0.76384,0.44625,0.79128,0.68552,0.73837,0.38082,1.07312,1.89393,0.65521,1.11809,0.000858338,0.000858338,0.000858338
51,5309.47,1.00766,1.51638,0.61916,1.03524,0.90873,0.67107,0.78688,0.45085,0.87641,0.64416,0.74566,0.37331,1.11836,1.85885,0.636,1.15234,0.000841835,0.000841835,0.000841835
52,5413.15,1.01816,1.48068,0.62177,1.03491,0.83627,0.70366,0.78558,0.46253,0.81172,0.67566,0.74941,0.40123,1.06371,1.87071,0.65443,1.10544,0.000825332,0.000825332,0.000825332
53,5517.1,1.0117,1.49519,0.60618,1.03019,0.80442,0.72155,0.7724,0.46042,0.79665,0.70629,0.75336,0.39792,1.06513,1.84294,0.64907,1.11763,0.000808828,0.000808828,0.000808828
54,5620.75,0.96895,1.44331,0.60011,1.01978,0.86287,0.63394,0.74145,0.43846,0.84632,0.61476,0.71508,0.37345,1.08162,1.84689,0.68586,1.13188,0.000792325,0.000792325,0.000792325
55,5724.36,0.9716,1.43896,0.60663,1.02691,0.87442,0.65169,0.77794,0.4641,0.85194,0.63,0.7582,0.39276,1.04742,1.85091,0.62402,1.10044,0.000775822,0.000775822,0.000775822
56,5827.97,0.98074,1.4358,0.60042,1.02326,0.74889,0.69391,0.74829,0.45192,0.79739,0.61936,0.70902,0.37575,1.06679,1.89248,0.6751,1.13321,0.000759318,0.000759318,0.000759318
57,5931.68,0.96016,1.44235,0.61597,1.0127,0.79984,0.71336,0.76787,0.45067,0.78499,0.69855,0.7436,0.39145,1.05394,1.8999,0.64613,1.11144,0.000742815,0.000742815,0.000742815
58,6035.28,0.98025,1.49731,0.59243,1.02037,0.83536,0.71048,0.78142,0.47714,0.8307,0.69625,0.7667,0.40153,1.04735,1.88989,0.62877,1.115,0.000726312,0.000726312,0.000726312
59,6139.23,0.96998,1.42792,0.58794,1.0212,0.80954,0.70637,0.76569,0.46236,0.78933,0.68244,0.73916,0.39372,1.05916,1.85752,0.63464,1.10436,0.000709809,0.000709809,0.000709809
60,6242.76,0.96538,1.44881,0.57537,1.01438,0.80061,0.70987,0.76651,0.45847,0.78805,0.68772,0.7399,0.3955,1.06516,1.85487,0.63977,1.11676,0.000693305,0.000693305,0.000693305
61,6346.62,0.93506,1.36169,0.55793,1.00723,0.83084,0.67907,0.74419,0.44786,0.81203,0.6425,0.71293,0.36618,1.06461,1.91186,0.6309,1.1312,0.000676802,0.000676802,0.000676802
62,6450.38,0.98612,1.44158,0.59281,1.02214,0.84923,0.69455,0.76819,0.4524,0.81821,0.66444,0.73115,0.38625,1.05946,1.84963,0.6227,1.12057,0.000660299,0.000660299,0.000660299
63,6554.13,0.97362,1.42988,0.57802,1.01789,0.87176,0.67529,0.76992,0.46715,0.86823,0.66012,0.75456,0.40815,1.03689,1.84941,0.64635,1.10859,0.000643795,0.000643795,0.000643795
64,6657.7,0.97779,1.45169,0.55936,1.00899,0.84819,0.68646,0.75932,0.46741,0.83223,0.67052,0.73116,0.39073,1.06922,1.91139,0.67394,1.12013,0.000627292,0.000627292,0.000627292
65,6761.44,0.91765,1.37479,0.52732,0.99889,0.82247,0.70697,0.76488,0.45971,0.79312,0.67515,0.727,0.38957,1.05379,1.83108,0.64801,1.10935,0.000610789,0.000610789,0.000610789
66,6864.93,0.94234,1.3878,0.55776,1.00438,0.86013,0.70843,0.77084,0.46643,0.83561,0.67961,0.73736,0.40116,1.04689,1.82665,0.63063,1.1172,0.000594286,0.000594286,0.000594286
67,6968.78,0.93887,1.4005,0.54502,1.00236,0.81012,0.69797,0.75112,0.44546,0.78742,0.67981,0.72506,0.38174,1.04496,1.83644,0.61633,1.11596,0.000577782,0.000577782,0.000577782
68,7072.46,0.96748,1.39384,0.56323,0.99137,0.8219,0.7002,0.77922,0.45249,0.79562,0.6645,0.73774,0.37027,1.06131,1.84665,0.6208,1.1194,0.000561279,0.000561279,0.000561279
69,7176.14,0.92768,1.35735,0.54526,0.99664,0.81256,0.70861,0.75405,0.451,0.78702,0.67805,0.72321,0.37384,1.06073,1.84354,0.64939,1.11281,0.000544776,0.000544776,0.000544776
70,7279.76,0.93774,1.37234,0.55622,1.00395,0.82925,0.70911,0.75223,0.4628,0.81464,0.69578,0.7316,0.39265,1.04025,1.81385,0.61587,1.1088,0.000528272,0.000528272,0.000528272
71,7383.27,0.91546,1.34438,0.52694,0.99137,0.83184,0.68877,0.76624,0.47642,0.82833,0.68124,0.7555,0.40307,1.03293,1.81316,0.60484,1.11047,0.000511769,0.000511769,0.000511769
72,7486.92,0.92074,1.36592,0.52088,0.99063,0.84641,0.70766,0.77782,0.48103,0.83789,0.69863,0.76798,0.41972,1.06403,1.78368,0.59827,1.12848,0.000495266,0.000495266,0.000495266
73,7590.82,0.91781,1.35046,0.52415,0.99113,0.80503,0.73096,0.78347,0.47649,0.78544,0.71152,0.75711,0.39586,1.05476,1.83955,0.61922,1.12436,0.000478762,0.000478762,0.000478762
74,7694.52,0.92127,1.3389,0.53701,1.00339,0.83882,0.70223,0.76807,0.46098,0.82053,0.69357,0.75438,0.38524,1.05121,1.89901,0.62333,1.12588,0.000462259,0.000462259,0.000462259
75,7798.2,0.92138,1.32568,0.51123,1.00399,0.85882,0.71146,0.78564,0.47357,0.84056,0.69626,0.75443,0.40281,1.04856,1.85166,0.60233,1.11384,0.000445756,0.000445756,0.000445756
76,7901.93,0.89967,1.30173,0.50992,0.98671,0.8562,0.72837,0.78258,0.47183,0.84104,0.70728,0.75815,0.40336,1.03513,1.84876,0.59831,1.1213,0.000429253,0.000429253,0.000429253
77,8005.62,0.90118,1.31171,0.51367,0.9873,0.81345,0.70226,0.76917,0.45924,0.80801,0.67978,0.74193,0.39345,1.03892,1.8193,0.61758,1.10862,0.000412749,0.000412749,0.000412749
78,8109.43,0.91705,1.31291,0.52018,0.98247,0.83477,0.71262,0.78224,0.47071,0.81457,0.69499,0.75208,0.3998,1.03079,1.84914,0.59229,1.10672,0.000396246,0.000396246,0.000396246
79,8212.94,0.88851,1.2742,0.50082,0.99202,0.79711,0.71207,0.73903,0.45292,0.79035,0.68408,0.70683,0.38519,1.03358,1.83264,0.5981,1.10172,0.000379743,0.000379743,0.000379743
80,8316.8,0.88837,1.28445,0.5021,0.98163,0.82771,0.69504,0.73852,0.44777,0.81452,0.67225,0.71214,0.37224,1.0563,1.84988,0.61309,1.12319,0.000363239,0.000363239,0.000363239
81,8421.02,0.88183,1.29091,0.49994,0.98631,0.84354,0.68366,0.76051,0.45243,0.87428,0.63295,0.728,0.38369,1.04855,1.85963,0.62465,1.12084,0.000346736,0.000346736,0.000346736
82,8524.75,0.88017,1.2689,0.49704,0.9799,0.87162,0.68732,0.77127,0.46738,0.86352,0.66326,0.74277,0.40564,1.02653,1.84303,0.59444,1.10545,0.000330233,0.000330233,0.000330233
83,8628.59,0.84699,1.26049,0.48421,0.96829,0.83552,0.70656,0.76545,0.4599,0.83296,0.69262,0.74981,0.3969,1.04606,1.84977,0.6073,1.1107,0.000313729,0.000313729,0.000313729
84,8732.32,0.86806,1.2716,0.48419,0.96734,0.85089,0.71752,0.78508,0.4642,0.82087,0.69196,0.75471,0.39576,1.05043,1.86478,0.59077,1.1204,0.000297226,0.000297226,0.000297226
85,8836.19,0.86804,1.25999,0.48803,0.98178,0.86603,0.70264,0.77483,0.46618,0.84309,0.6818,0.74682,0.39373,1.02912,1.88161,0.60511,1.10829,0.000280723,0.000280723,0.000280723
86,8940.01,0.8848,1.30866,0.49898,0.97305,0.86036,0.7151,0.77259,0.46504,0.8419,0.68463,0.74683,0.38634,1.03411,1.88355,0.58275,1.11108,0.00026422,0.00026422,0.00026422
87,9043.68,0.86027,1.25623,0.46579,0.96391,0.85112,0.66212,0.73863,0.44882,0.8194,0.63774,0.70632,0.37646,1.04742,1.92309,0.61066,1.13022,0.000247716,0.000247716,0.000247716
