epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.84,1.30827,1.65349,1.14817,0.35912,0.28204,0.29737,0.19439,1.37124,23.8128,1.3443,0.000550425,0.000550425,0.000550425
2,125.827,1.45831,1.3085,1.24376,0.01488,0.47604,0.01119,0.00607,nan,nan,nan,0.00109614,0.00109614,0.00109614
3,185.418,1.52162,1.41227,1.28798,0.80555,0.32312,0.44858,0.24532,1.35312,4.0212,1.34296,0.00163185,0.00163185,0.00163185
4,245.01,1.46772,1.2819,1.25487,0.64326,0.48124,0.50043,0.25555,1.41361,2.15103,1.32046,0.00162199,0.00162199,0.00162199
5,304.547,1.42746,1.2352,1.22758,0.61763,0.45833,0.4806,0.28291,1.32253,1.46613,1.21222,0.00160699,0.00160699,0.00160699
6,364.106,1.38994,1.11051,1.18788,0.73226,0.51382,0.56809,0.3173,1.2806,1.35409,1.20505,0.00159198,0.00159198,0.00159198
7,423.549,1.41786,1.12721,1.21965,0.62588,0.47041,0.51832,0.28142,1.41785,1.41353,1.26939,0.00157698,0.00157698,0.00157698
8,482.956,1.38839,1.10191,1.20429,0.74714,0.53289,0.5979,0.33829,1.25542,1.38723,1.20777,0.00156198,0.00156198,0.00156198
9,542.362,1.32983,1.05312,1.17503,0.6515,0.53221,0.5854,0.33857,1.20372,1.16564,1.16195,0.00154698,0.00154698,0.00154698
10,601.672,1.33784,1.05693,1.1875,0.75165,0.56444,0.60527,0.35995,1.25675,1.12755,1.1729,0.00153197,0.00153197,0.00153197
11,660.984,1.33217,1.0201,1.17004,0.70857,0.53175,0.57918,0.3393,1.18523,1.1146,1.14361,0.00151697,0.00151697,0.00151697
12,720.176,1.28409,0.97916,1.16717,0.81477,0.52085,0.5841,0.33808,1.1721,0.96463,1.12833,0.00150197,0.00150197,0.00150197
13,779.398,1.30209,0.99504,1.14091,0.6606,0.57934,0.59347,0.36775,1.19317,0.94701,1.1376,0.00148696,0.00148696,0.00148696
14,838.841,1.25662,0.9612,1.1423,0.78567,0.57768,0.61339,0.37191,1.12106,0.85669,1.1045,0.00147196,0.00147196,0.00147196
15,898.281,1.29406,0.92455,1.13385,0.79621,0.5894,0.63434,0.36965,1.15167,0.85542,1.12036,0.00145696,0.00145696,0.00145696
16,957.769,1.21977,0.89785,1.11457,0.78022,0.57337,0.63444,0.39261,1.14972,0.79465,1.10957,0.00144195,0.00144195,0.00144195
17,1017.15,1.2516,0.91559,1.13362,0.75073,0.58321,0.62146,0.3771,1.15503,0.86518,1.12218,0.00142695,0.00142695,0.00142695
18,1076.24,1.2239,0.90372,1.12162,0.73153,0.62825,0.6634,0.40369,1.09046,0.77747,1.09763,0.00141195,0.00141195,0.00141195
19,1135.63,1.20209,0.85239,1.11837,0.78461,0.58572,0.64908,0.3958,1.11428,0.82597,1.09889,0.00139695,0.00139695,0.00139695
20,1194.93,1.22179,0.88648,1.11796,0.82708,0.58253,0.66615,0.4055,1.0846,0.76198,1.08737,0.00138194,0.00138194,0.00138194
21,1254.35,1.18552,0.83619,1.11253,0.82985,0.6043,0.65341,0.38599,1.08124,0.79718,1.09388,0.00136694,0.00136694,0.00136694
22,1313.52,1.19548,0.83222,1.10761,0.77783,0.61658,0.66705,0.41813,1.08654,0.76039,1.09111,0.00135194,0.00135194,0.00135194
23,1372.89,1.21631,0.82836,1.10317,0.85428,0.58485,0.64598,0.4034,1.11616,0.74844,1.10291,0.00133693,0.00133693,0.00133693
24,1431.92,1.16894,0.76773,1.10038,0.73462,0.59872,0.65022,0.3955,1.07485,0.8287,1.08092,0.00132193,0.00132193,0.00132193
25,1491.1,1.14627,0.79828,1.09085,0.80922,0.61629,0.66002,0.41265,1.07461,0.77816,1.10002,0.00130693,0.00130693,0.00130693
