epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.549,1.31569,2.22631,1.64378,1.16967,0.00324,0.16259,0.00179,0.00089,0.00343,0.16204,0.00164,0.00068,nan,nan,nan,nan,0.000553033,0.000553033,0.000553033
2,224.866,1.51078,2.58554,1.54829,1.30963,0.20599,0.41593,0.11437,0.04002,0.2211,0.42195,0.11696,0.03506,1.46022,4.58677,41.6853,1.46303,0.00110205,0.00110205,0.00110205
3,329.396,1.50629,2.43472,1.50523,1.30432,0.6134,0.37697,0.40899,0.22277,0.67527,0.39329,0.43172,0.22261,1.45724,2.55711,2.0767,1.36957,0.00164439,0.00164439,0.00164439
4,433.797,1.50378,2.44466,1.43318,1.30314,0.59198,0.43555,0.45997,0.25918,0.59278,0.44401,0.45271,0.2299,1.40903,2.38345,1.4739,1.29353,0.00163699,0.00163699,0.00163699
5,538.153,1.4501,2.37274,1.3094,1.28325,0.3435,0.34882,0.33142,0.18548,0.36483,0.34827,0.33348,0.16141,1.4944,2.88673,1.58994,1.3833,0.00162699,0.00162699,0.00162699
6,642.573,1.36803,2.23722,1.21066,1.22789,0.67554,0.41369,0.44307,0.24649,0.67188,0.40473,0.42966,0.22435,nan,nan,nan,nan,0.00161699,0.00161699,0.00161699
7,746.421,1.35576,2.23072,1.20922,1.21625,0.69193,0.50903,0.52238,0.3058,0.71144,0.51326,0.52883,0.27182,nan,nan,nan,nan,0.00160699,0.00160699,0.00160699
8,850.485,1.35151,2.16838,1.14523,1.21073,0.70735,0.50132,0.5478,0.31384,0.72251,0.48268,0.52399,0.26554,1.313,2.25913,1.12404,1.23527,0.00159699,0.00159699,0.00159699
9,954.636,1.27682,1.9695,1.07646,1.16497,0.74728,0.52591,0.57717,0.33281,0.74198,0.52233,0.5749,0.29775,1.27566,2.23971,1.05332,1.22203,0.00158698,0.00158698,0.00158698
10,1058.84,1.35177,2.12567,1.10942,1.20653,0.60352,0.527,0.51202,0.27657,0.59073,0.53587,0.51712,0.26533,nan,nan,nan,nan,0.00157698,0.00157698,0.00157698
