epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.1574,1.38308,1.82885,1.21995,0.1196,0.40488,0.08118,0.03476,1.43143,96.24,1.42847,0.000550425,0.000550425,0.000550425
2,160.299,1.50912,1.3604,1.31202,0.12614,0.02389,0.01368,0.00742,nan,nan,nan,0.00109945,0.00109945,0.00109945
3,235.322,1.52457,1.38926,1.33552,0.35023,0.33907,0.23535,0.10726,nan,nan,nan,0.00164182,0.00164182,0.00164182
4,309.598,1.52043,1.37992,1.34127,0.96302,0.00179,0.02211,0.01711,nan,nan,nan,0.00163699,0.00163699,0.00163699
5,384.234,1.46131,1.26276,1.28376,0.66606,0.4351,0.45156,0.25124,1.36168,1.84528,1.28334,0.00162699,0.00162699,0.00162699
6,458.953,1.35465,1.1208,1.2469,0.66459,0.32007,0.33839,0.20259,1.5066,1.49451,1.35679,0.00161699,0.00161699,0.00161699
7,533.777,1.36038,1.13941,1.23849,0.70107,0.50351,0.56509,0.31707,1.28176,1.16766,1.22534,0.00160699,0.00160699,0.00160699
8,608.712,1.34102,1.04217,1.21841,0.78438,0.50246,0.56633,0.32278,1.27769,1.029,1.23025,0.00159699,0.00159699,0.00159699
9,683.482,1.34032,1.05312,1.21715,0.78671,0.47841,0.56207,0.31519,1.30858,1.16809,1.27132,0.00158698,0.00158698,0.00158698
10,758.089,1.361,1.06797,1.21666,0.69007,0.5523,0.5622,0.31899,1.28485,1.48498,1.25389,0.00157698,0.00157698,0.00157698
11,832.488,1.33694,1.05596,1.21456,0.85256,0.51745,0.61094,0.32668,1.26655,1.05874,1.21073,0.00156698,0.00156698,0.00156698
12,907.354,1.26059,0.96658,1.19092,0.73822,0.60284,0.65975,0.37558,1.1857,1.1345,1.17604,0.00155698,0.00155698,0.00155698
13,981.984,1.29001,0.96616,1.18951,0.81142,0.46005,0.5889,0.34485,1.16109,1.3946,1.17335,0.00154698,0.00154698,0.00154698
14,1056.29,1.25928,0.94379,1.18552,0.67767,0.45653,0.54825,0.31881,1.24725,1.11887,1.19821,0.00153697,0.00153697,0.00153697
15,1130.69,1.30419,0.96317,1.18678,0.79822,0.57362,0.67696,0.36803,1.19969,0.89449,1.18446,0.00152697,0.00152697,0.00152697
16,1205.21,1.30063,0.95177,1.17438,0.85134,0.55294,0.63453,0.35136,1.25988,1.16241,1.20876,0.00151697,0.00151697,0.00151697
17,1279.74,1.24541,0.90516,1.18144,0.72803,0.56391,0.61541,0.34033,1.26717,0.93396,1.20565,0.00150697,0.00150697,0.00150697
18,1354.28,1.28245,0.94336,1.17374,0.7969,0.59232,0.68606,0.37531,1.17328,0.84951,1.1725,0.00149697,0.00149697,0.00149697
19,1428.8,1.2058,0.85645,1.14836,0.77139,0.57905,0.65208,0.37684,1.14928,0.86983,1.14377,0.00148696,0.00148696,0.00148696
20,1503.25,1.20957,0.85417,1.14772,0.82453,0.61293,0.70184,0.38652,1.11241,0.82656,1.1458,0.00147696,0.00147696,0.00147696
21,1578.01,1.1835,0.81646,1.12817,0.7315,0.61049,0.66539,0.39059,1.1265,0.93002,1.14429,0.00146696,0.00146696,0.00146696
22,1652.87,1.18837,0.83563,1.13332,0.80524,0.61602,0.68061,0.39873,1.12245,0.84846,1.15345,0.00145696,0.00145696,0.00145696
23,1727.76,1.19853,0.82468,1.12288,0.81905,0.62461,0.69386,0.40269,1.16304,0.83414,1.1444,0.00144696,0.00144696,0.00144696
24,1802.55,1.17801,0.80853,1.128,0.88993,0.61337,0.71327,0.40341,1.16225,0.83338,1.15372,0.00143695,0.00143695,0.00143695
25,1877.21,1.20368,0.81748,1.13708,0.83371,0.63619,0.7137,0.39167,1.14666,0.79373,1.16689,0.00142695,0.00142695,0.00142695
26,1951.58,1.17038,0.77397,1.13748,0.88085,0.61403,0.72159,0.41641,1.10628,0.77984,1.13688,0.00141695,0.00141695,0.00141695
27,2026.23,1.16646,0.78509,1.12657,0.76213,0.68502,0.74824,0.41474,1.1612,0.73031,1.15901,0.00140695,0.00140695,0.00140695
28,2101.04,1.16668,0.77976,1.11918,0.86275,0.54183,0.66725,0.37564,1.18301,0.93201,1.16343,0.00139695,0.00139695,0.00139695
29,2175.43,1.14854,0.76946,1.10819,0.81362,0.59424,0.6781,0.4092,1.11009,0.79633,1.13071,0.00138694,0.00138694,0.00138694
30,2249.89,1.18479,0.79525,1.13278,0.84552,0.60399,0.6965,0.41381,1.09452,0.75367,1.12242,0.00137694,0.00137694,0.00137694
31,2324.23,1.1533,0.75562,1.11998,0.82822,0.63917,0.70453,0.40069,1.0932,0.71111,1.11613,0.00136694,0.00136694,0.00136694
32,2398.63,1.16574,0.75832,1.12245,0.71872,0.65735,0.72784,0.42765,1.11818,0.80537,1.13215,0.00135694,0.00135694,0.00135694
33,2473.23,1.1312,0.7652,1.10598,0.80133,0.65611,0.71984,0.41868,1.12531,0.80119,1.13466,0.00134694,0.00134694,0.00134694
34,2547.89,1.117,0.71321,1.09152,0.85388,0.58916,0.69163,0.39949,1.12926,0.78753,1.13621,0.00133693,0.00133693,0.00133693
35,2622.25,1.12506,0.72095,1.109,0.82685,0.63848,0.71693,0.40697,1.15729,0.81925,1.13349,0.00132693,0.00132693,0.00132693
36,2696.71,1.15064,0.74705,1.11278,0.81978,0.64589,0.7264,0.41732,1.08124,0.78855,1.11471,0.00131693,0.00131693,0.00131693
37,2771.01,1.11981,0.72351,1.11063,0.83174,0.61602,0.68315,0.41017,1.15102,0.81067,1.14878,0.00130693,0.00130693,0.00130693
38,2845.49,1.12851,0.7369,1.10076,0.87618,0.64295,0.72411,0.42653,1.07967,0.74392,1.11803,0.00129693,0.00129693,0.00129693
39,2919.97,1.08375,0.68619,1.088,0.84965,0.64946,0.74031,0.41945,1.14293,0.71089,1.15188,0.00128692,0.00128692,0.00128692
40,2994.42,1.11349,0.67185,1.09435,0.86993,0.64201,0.73509,0.43648,1.11392,0.77164,1.13414,0.00127692,0.00127692,0.00127692
